mandature_id,institution,mandature,mandature_start_date,mandature_end_date,wikidata_qid,person_id,last_name,first_name,birth_date,death_date,department,group,mandat_start_date,mandat_end_date,mandat_duration,sycomore_id,senat_id,wikidata_qid.1
chambre_13,chambre,XIIIe législature de la Troisième République,1924-06-01,1928-05-31,#REF!,weill_1882-09-17,Weill,Georges,1882-09-17,1970-01-10,Bas-Rhin,Parti socialiste,1924-05-11,1928-05-31,1481.0,7339,,Q111836
chambre_15,chambre,XVe législature de la Troisième République,1932-06-01,1936-05-31,#REF!,weill_1882-09-17,Weill,Georges,1882-09-17,1970-01-10,Bas-Rhin,Parti socialiste,1932-05-08,1936-05-31,1484.0,7339,,Q111836
chambre_6,chambre,VIe législature de la Troisième République,1893-10-15,1898-05-31,#REF!,grousset_1844-04-07,Grousset,Paschal,1844-04-07,1909-04-09,Seine,Radical-socialiste,1893-09-03,1898-05-31,1731.0,3608,,Q1118848
chambre_7,chambre,VIIe législature de la Troisième République,1898-06-01,1902-05-31,#REF!,grousset_1844-04-07,Grousset,Paschal,1844-04-07,1909-04-09,Seine,Radical-socialiste,1898-05-08,1902-05-31,1483.0,3608,,Q1118848
chambre_8,chambre,VIIIe législature de la Troisième République,1902-06-01,1906-05-31,#REF!,grousset_1844-04-07,Grousset,Paschal,1844-04-07,1909-04-09,Seine,Radical-socialiste,1902-05-11,1906-05-31,1481.0,3608,,Q1118848
chambre_9,chambre,IXe législature de la Troisième République,1906-06-01,1910-05-31,#REF!,grousset_1844-04-07,Grousset,Paschal,1844-04-07,1909-04-09,Seine,Socialistes parlementaires,1906-05-20,1909-04-09,1055.0,3608,,Q1118848
chambre_12,chambre,XIIe législature de la Troisième République,1919-12-08,1924-05-31,#REF!,tapponnier_1884-08-14,Tapponnier,Paul,1884-08-14,1970-11-02,Haute-Savoie,Entente républicaine démocratique,1919-11-16,1924-05-31,1658.0,6950,,Q11428374
chambre_9,chambre,IXe législature de la Troisième République,1906-06-01,1910-05-31,#REF!,brousse_1844-01-24,Brousse,"Paul, Louis, Marie",1844-01-24,1912-04-01,Seine,Socialistes unifiés,1906-05-06,1910-05-31,1486.0,1262,,Q1153056
chambre_12,chambre,XIIe législature de la Troisième République,1919-12-08,1924-05-31,#REF!,brogly_1878-04-29,Brogly,"Médard, Jules",1878-04-29,1959-12-05,Haut-Rhin,Entente républicaine démocratique,1919-11-16,1924-05-31,1658.0,1252,brogly_medard1116r3,Q118855
chambre_14,chambre,XIVe législature de la Troisième République,1928-06-01,1932-05-31,#REF!,brogly_1878-04-29,Brogly,"Médard, Jules",1878-04-29,1959-12-05,Haut-Rhin,Députés indépendants,1928-04-29,1932-05-31,1493.0,1252,brogly_medard1116r3,Q118855
chambre_15,chambre,XVe législature de la Troisième République,1932-06-01,1936-05-31,#REF!,brogly_1878-04-29,Brogly,"Médard, Jules",1878-04-29,1959-12-05,Haut-Rhin,Républicains du centre,1932-05-08,1936-02-10,1373.0,1252,brogly_medard1116r3,Q118855
senat_1935,senat,Élections sénatoriales de 1935,1935-10-20,,#REF!,brogly_1878-04-29,Brogly,"Médard, Jules",1878-04-29,1959-12-05,Haut-Rhin,,1936-01-14,1944-12-31,3274.0,1252,brogly_medard1116r3,Q118855
chambre_3,chambre,IIIe législature de la Troisième République,1881-10-28,1885-11-09,#REF!,tiersot_1822-08-29,Tiersot,Edmond,1822-08-29,1883-01-21,Ain,Union républicaine,1881-09-04,1883-01-21,504.0,7072,,Q11918029
chambre_14,chambre,XIVe législature de la Troisième République,1928-06-01,1932-05-31,#REF!,hauss_1896-01-25,Hauss,René,1896-01-25,1965-11-22,Haut-Rhin,Députés indépendants,1929-01-27,1932-05-31,1220.0,3767,,Q11945258
chambre_10,chambre,Xe législature de la Troisième République,1910-06-01,1914-05-31,#REF!,dejeante_1850-12-28,Dejeante,"Victor, Louis",1850-12-28,1927-12-07,Seine,Parti socialiste,1910-04-24,1914-05-31,1498.0,2240,,Q11954687
chambre_11,chambre,XIe législature de la Troisième République,1914-06-01,1919-12-07,#REF!,dejeante_1850-12-28,Dejeante,"Victor, Louis",1850-12-28,1927-12-07,Seine,Parti socialiste,1914-04-26,1919-12-07,2051.0,2240,,Q11954687
chambre_13,chambre,XIIIe législature de la Troisième République,1924-06-01,1928-05-31,#REF!,dejeante_1850-12-28,Dejeante,"Victor, Louis",1850-12-28,1927-12-07,Seine,Républicain socialiste et socialiste français,1924-05-11,1927-12-07,1305.0,2240,,Q11954687
chambre_6,chambre,VIe législature de la Troisième République,1893-10-15,1898-05-31,#REF!,dejeante_1850-12-28,Dejeante,"Victor, Louis",1850-12-28,1927-12-07,Seine,,1893-09-03,1898-05-31,1731.0,2240,,Q11954687
chambre_7,chambre,VIIe législature de la Troisième République,1898-06-01,1902-05-31,#REF!,dejeante_1850-12-28,Dejeante,"Victor, Louis",1850-12-28,1927-12-07,Seine,,1898-05-08,1902-05-31,1483.0,2240,,Q11954687
chambre_8,chambre,VIIIe législature de la Troisième République,1902-06-01,1906-05-31,#REF!,dejeante_1850-12-28,Dejeante,"Victor, Louis",1850-12-28,1927-12-07,Seine,Socialistes indépendants,1902-04-27,1906-05-31,1495.0,2240,,Q11954687
chambre_9,chambre,IXe législature de la Troisième République,1906-06-01,1910-05-31,#REF!,dejeante_1850-12-28,Dejeante,"Victor, Louis",1850-12-28,1927-12-07,Seine,Socialistes unifiés,1906-05-06,1910-05-31,1486.0,2240,,Q11954687
chambre_4,chambre,IVe législature de la Troisième République,1885-11-10,1889-11-11,#REF!,augère_1824-05-10,Augère,"François, Auguste",1824-05-10,,Loiret,Gauche radicale,1888-02-26,1889-10-14,596.0,17848,,Q11984202
chambre_3,chambre,IIIe législature de la Troisième République,1881-10-28,1885-11-09,#REF!,bernier_1809-01-28,Bernier,"Mesmin, Florent",1809-01-28,1892-05-27,Loiret,,1881-08-21,1885-10-14,1515.0,7899,,Q11984749
chambre_4,chambre,IVe législature de la Troisième République,1885-11-10,1889-11-11,#REF!,bernier_1809-01-28,Bernier,"Mesmin, Florent",1809-01-28,1892-05-27,Loiret,,1885-10-18,1889-10-14,1457.0,7899,,Q11984749
chambre_8,chambre,VIIIe législature de la Troisième République,1902-06-01,1906-05-31,#REF!,cazeaux-cazalet_1861-04-23,Cazeaux-Cazalet,"Georges, Barthélémy",1861-04-23,1911-11-12,Gironde,Alliance démocratique,1902-05-11,1906-05-31,1481.0,1557,,Q11984843
chambre_9,chambre,IXe législature de la Troisième République,1906-06-01,1910-05-31,#REF!,cazeaux-cazalet_1861-04-23,Cazeaux-Cazalet,"Georges, Barthélémy",1861-04-23,1911-11-12,Gironde,Union démocratique,1906-05-20,1910-05-31,1472.0,1557,,Q11984843
chambre_3,chambre,IIIe législature de la Troisième République,1881-10-28,1885-11-09,#REF!,devade_1818-01-11,Devade,"Guillaume, Amédée",1818-01-11,1888-04-21,Loiret,Union démocratique,1881-08-21,1885-10-14,1515.0,7936,,Q11984859
chambre_4,chambre,IVe législature de la Troisième République,1885-11-10,1889-11-11,#REF!,devade_1818-01-11,Devade,"Guillaume, Amédée",1818-01-11,1888-04-21,Loiret,Union des Droites,1885-10-18,1888-04-21,916.0,7936,,Q11984859
chambre_4,chambre,IVe législature de la Troisième République,1885-11-10,1889-11-11,#REF!,martimprey_1849-09-02,Martimprey,"Edmond, Louis de",1849-09-02,1892-11-22,Nord,Union des Droites,1885-10-04,1889-10-14,1471.0,8002,,Q11984901
chambre_3,chambre,IIIe législature de la Troisième République,1881-10-28,1885-11-09,#REF!,pesson_1843-06-22,Pesson,Albert,1843-06-22,1891-02-21,Indre-et-Loire,Union républicaine,1881-10-04,1889-10-14,2932.0,5837,,Q11984911
chambre_5,chambre,Ve législature de la Troisième République,1889-11-12,1893-10-14,#REF!,pesson_1843-06-22,Pesson,Albert,1843-06-22,1891-02-21,Indre-et-Loire,Union républicaine,1889-09-22,1891-02-21,517.0,5837,,Q11984911
chambre_6,chambre,VIe législature de la Troisième République,1893-10-15,1898-05-31,#REF!,d'aillières_1817-10-15,d'Aillières,François,1817-10-15,1906-04-15,Sarthe,,1897-04-11,1898-05-31,415.0,52,,Q11984924
chambre_14,chambre,XIVe législature de la Troisième République,1928-06-01,1932-05-31,#REF!,génébrier_1870-09-08,Génébrier,Pierre,1870-09-08,1950-04-20,Puy-de-Dôme,,1931-02-15,1932-05-31,471.0,3334,,Q11984999
senat_1875,senat,Lois constitutionnelles de 1875,1875-12-09,,#REF!,schoelcher_1804-07-22,SCHOELCHER,Victor,1804-07-22,1893-12-20,Inamovible,,1875-12-16,1893-12-20,6579.0,,schoelcher_victor1534r3,Q120417
chambre_5,chambre,Ve législature de la Troisième République,1889-11-12,1893-10-14,#REF!,etcheverry_1853-02-22,Etcheverry,"Louis, Félix, Jean-Baptiste",1853-02-22,1907-10-15,Basses-Pyrénées,,1889-09-22,1893-10-14,1483.0,2859,,Q12262626
chambre_10,chambre,Xe législature de la Troisième République,1910-06-01,1914-05-31,#REF!,marin_1871-02-07,Marin,Louis,1871-02-07,1960-05-23,Meurthe-et-Moselle,Républicain progressiste,1910-04-24,1914-05-31,1498.0,5001,,Q1229977
chambre_11,chambre,XIe législature de la Troisième République,1914-06-01,1919-12-07,#REF!,marin_1871-02-07,Marin,Louis,1871-02-07,1960-05-23,Meurthe-et-Moselle,Fédération républicaine,1914-04-26,1919-12-07,2051.0,5001,,Q1229977
chambre_12,chambre,XIIe législature de la Troisième République,1919-12-08,1924-05-31,#REF!,marin_1871-02-07,Marin,Louis,1871-02-07,1960-05-23,Meurthe-et-Moselle,Entente républicaine démocratique,1919-11-16,1924-05-31,1658.0,5001,,Q1229977
chambre_13,chambre,XIIIe législature de la Troisième République,1924-06-01,1928-05-31,#REF!,marin_1871-02-07,Marin,Louis,1871-02-07,1960-05-23,Meurthe-et-Moselle,Union républicaine démocratique,1924-05-11,1928-05-31,1481.0,5001,,Q1229977
chambre_14,chambre,XIVe législature de la Troisième République,1928-06-01,1932-05-31,#REF!,marin_1871-02-07,Marin,Louis,1871-02-07,1960-05-23,Meurthe-et-Moselle,Union républicaine démocratique,1928-04-22,1932-05-31,1500.0,5001,,Q1229977
chambre_15,chambre,XVe législature de la Troisième République,1932-06-01,1936-05-31,#REF!,marin_1871-02-07,Marin,Louis,1871-02-07,1960-05-23,Meurthe-et-Moselle,Fédération républicaine,1932-05-01,1936-05-31,1491.0,5001,,Q1229977
chambre_15,chambre,XVe législature de la Troisième République,1932-06-01,1936-05-31,#REF!,marin_1871-02-07,Marin,Louis,1871-02-07,1960-05-23,Meurthe-et-Moselle,Fédération républicaine de France,1936-04-26,1942-05-31,2226.0,5001,,Q1229977
chambre_8,chambre,VIIIe législature de la Troisième République,1902-06-01,1906-05-31,#REF!,marin_1871-02-07,Marin,Louis,1871-02-07,1960-05-23,Meurthe-et-Moselle,Républicains progressistes,1905-10-08,1906-05-31,235.0,5001,,Q1229977
chambre_9,chambre,IXe législature de la Troisième République,1906-06-01,1910-05-31,#REF!,marin_1871-02-07,Marin,Louis,1871-02-07,1960-05-23,Meurthe-et-Moselle,Progressiste,1906-05-06,1910-05-31,1486.0,5001,,Q1229977
gouv_flandin_1,gouvernement,Gouvernement Flandin I,1934-11-08,1935-05-31,#REF!,marin_1871-02-07,Marin,Louis,1871-02-07,1960-05-23,Ministre d’État,,,,,5001,,Q1229977
chambre_14,chambre,XIVe législature de la Troisième République,1928-06-01,1932-05-31,#REF!,sabiani_1889-05-14,Sabiani,"Simon, Pierre",1889-05-14,1956-09-29,Bouches-du-Rhône,Députés indépendants,1928-04-29,1932-05-31,1493.0,6200,,Q1233694
chambre_15,chambre,XVe législature de la Troisième République,1932-06-01,1936-05-31,#REF!,sabiani_1889-05-14,Sabiani,"Simon, Pierre",1889-05-14,1956-09-29,Bouches-du-Rhône,Gauche indépendante,1932-05-01,1936-05-31,1491.0,6200,,Q1233694
chambre_6,chambre,VIe législature de la Troisième République,1893-10-15,1898-05-31,#REF!,d'octon_1859-09-07,d'Octon,"Paul, Etienne Vigné dit Vigné",1859-09-07,1943-11-20,Hérault,Radical-socialiste,1893-09-03,1898-05-31,1731.0,7436,,Q12353689
chambre_7,chambre,VIIe législature de la Troisième République,1898-06-01,1902-05-31,#REF!,d'octon_1859-09-07,d'Octon,"Paul, Etienne Vigné dit Vigné",1859-09-07,1943-11-20,Hérault,Radical-socialiste,1898-05-08,1902-05-31,1483.0,7436,,Q12353689
chambre_8,chambre,VIIIe législature de la Troisième République,1902-06-01,1906-05-31,#REF!,d'octon_1859-09-07,d'Octon,"Paul, Etienne Vigné dit Vigné",1859-09-07,1943-11-20,Hérault,Radical-socialiste,1902-04-27,1906-05-31,1495.0,7436,,Q12353689
chambre_11,chambre,XIe législature de la Troisième République,1914-06-01,1919-12-07,#REF!,stern_1882-04-14,Stern,Jacques,1882-04-14,1949-12-21,Basses-Alpes,Gauche radicale,1914-05-10,1919-12-07,2037.0,6907,,Q1243761
chambre_14,chambre,XIVe législature de la Troisième République,1928-06-01,1932-05-31,#REF!,stern_1882-04-14,Stern,Jacques,1882-04-14,1949-12-21,Basses-Alpes,Républicains de gauche,1928-04-22,1932-05-31,1500.0,6907,,Q1243761
chambre_15,chambre,XVe législature de la Troisième République,1932-06-01,1936-05-31,#REF!,stern_1882-04-14,Stern,Jacques,1882-04-14,1949-12-21,Basses-Alpes,Non inscrit,1932-05-08,1936-05-31,1484.0,6907,,Q1243761
chambre_11,chambre,XIe législature de la Troisième République,1914-06-01,1919-12-07,#REF!,varenne_1870-10-03,Varenne,"Alexandre, Claude",1870-10-03,1947-02-16,Puy-de-Dôme,Parti socialiste,1914-05-10,1919-12-07,2037.0,7210,,Q1247638
chambre_12,chambre,XIIe législature de la Troisième République,1919-12-08,1924-05-31,#REF!,varenne_1870-10-03,Varenne,"Alexandre, Claude",1870-10-03,1947-02-16,Puy-de-Dôme,Parti socialiste,1919-11-16,1924-05-31,1658.0,7210,,Q1247638
chambre_13,chambre,XIIIe législature de la Troisième République,1924-06-01,1928-05-31,#REF!,varenne_1870-10-03,Varenne,"Alexandre, Claude",1870-10-03,1947-02-16,Puy-de-Dôme,Parti socialiste,1924-05-11,1928-05-31,1481.0,7210,,Q1247638
chambre_14,chambre,XIVe législature de la Troisième République,1928-06-01,1932-05-31,#REF!,varenne_1870-10-03,Varenne,"Alexandre, Claude",1870-10-03,1947-02-16,Puy-de-Dôme,Indépendants de gauche,1928-04-22,1932-05-31,1500.0,7210,,Q1247638
