nom,prenom,legislature,role,from_date,to_date,birth_date,death_date,sycomore_id,url
Boulay,Henri,XIVe législature,Saône-et-Loire Groupe Parti socialiste,19 juillet 1931,31 mai 1932,14 juillet 1889,6 octobre 1942,1054,https://www2.assemblee-nationale.fr/sycomore/fiche/1054
Boulay,Henri,XVe législature,Saône-et-Loire Groupe Parti socialiste,8 mai 1932,31 mai 1936,14 juillet 1889,6 octobre 1942,1054,https://www2.assemblee-nationale.fr/sycomore/fiche/1054
Boulay,Henri,XVIe législature,Saône-et-Loire Groupe Socialiste,3 mai 1936,31 mai 1942,14 juillet 1889,6 octobre 1942,1054,https://www2.assemblee-nationale.fr/sycomore/fiche/1054
Boulet,"Paul, Marie, Maurice",XVIe législature,Hérault Groupe Parti de la jeune République,3 mai 1936,31 mai 1942,8 septembre 1894,27 juillet 1982,1056,https://www2.assemblee-nationale.fr/sycomore/fiche/1056
Boulet,"Paul, Marie, Maurice",2e Assemblée nationale constituante,Hérault Groupe Mouvement républicain populaire,2 juin 1946,27 novembre 1946,8 septembre 1894,27 juillet 1982,1056,https://www2.assemblee-nationale.fr/sycomore/fiche/1056
Boulet,"Paul, Marie, Maurice",Ire législature,Hérault Groupe Mouvement républicain populaire,10 novembre 1946,4 juillet 1951,8 septembre 1894,27 juillet 1982,1056,https://www2.assemblee-nationale.fr/sycomore/fiche/1056
Bounin,Jacques,XVIe législature,Alpes-Maritimes Groupe Non inscrit,26 avril 1939,31 mai 1942,26 mars 1908,10 décembre 1977,1067,https://www2.assemblee-nationale.fr/sycomore/fiche/1067
Flandin,"Pierre, Etienne",XIe législature,Yonne Groupe Union républicaine radicale et socialiste,10 mai 1914,7 décembre 1919,12 avril 1889,13 juin 1958,10839,https://www2.assemblee-nationale.fr/sycomore/fiche/10839
Flandin,"Pierre, Etienne",XIIe législature,Yonne Groupe Gauche républicaine démocratique,16 novembre 1919,31 mai 1924,12 avril 1889,13 juin 1958,10839,https://www2.assemblee-nationale.fr/sycomore/fiche/10839
Flandin,"Pierre, Etienne",XIIIe législature,Yonne Groupe Gauche républicaine démocratique,11 mai 1924,31 mai 1928,12 avril 1889,13 juin 1958,10839,https://www2.assemblee-nationale.fr/sycomore/fiche/10839
Flandin,"Pierre, Etienne",XIVe législature,Yonne Groupe Républicains de gauche,22 avril 1928,31 mai 1932,12 avril 1889,13 juin 1958,10839,https://www2.assemblee-nationale.fr/sycomore/fiche/10839
Flandin,"Pierre, Etienne",XVe législature,Yonne Groupe Républicains de gauche,1 mai 1932,31 mai 1936,12 avril 1889,13 juin 1958,10839,https://www2.assemblee-nationale.fr/sycomore/fiche/10839
Flandin,"Pierre, Etienne",XVIe législature,Yonne Groupe Alliance des républicains de gauche et des radicaux indépendants,26 avril 1936,31 mai 1942,12 avril 1889,13 juin 1958,10839,https://www2.assemblee-nationale.fr/sycomore/fiche/10839
Bousgarbiès,Jean,XVe législature,Aude Groupe Républicain radical et radical-socialiste,1 mai 1932,31 mai 1936,19 février 1889,19 décembre 1947,1109,https://www2.assemblee-nationale.fr/sycomore/fiche/1109
Bousgarbiès,Jean,XVIe législature,Aude Groupe Républicain radical et radical-socialiste,26 avril 1936,31 mai 1942,19 février 1889,19 décembre 1947,1109,https://www2.assemblee-nationale.fr/sycomore/fiche/1109
Bousquet,"Edouard, Marius",XVe législature,Lozère Groupe Fédération républicaine,1 mai 1932,31 mai 1936,8 juillet 1879,7 février 1954,1112,https://www2.assemblee-nationale.fr/sycomore/fiche/1112
Bousquet,"Edouard, Marius",XVIe législature,Lozère Groupe Fédération républicaine de France,3 mai 1936,31 mai 1942,8 juillet 1879,7 février 1954,1112,https://www2.assemblee-nationale.fr/sycomore/fiche/1112
Casson,"François, Olivier, Marie Boux de",XVIe législature,Vendée Groupe Fédération républicaine de France,3 mai 1936,31 mai 1942,24 février 1908,31 janvier 1981,1144,https://www2.assemblee-nationale.fr/sycomore/fiche/1144
Brachard,"Emile, Victor, Léon",XVe législature,Aube Groupe Républicain radical et radical-socialiste,8 mai 1932,31 mai 1936,29 avril 1887,31 décembre 1944,1166,https://www2.assemblee-nationale.fr/sycomore/fiche/1166
Brachard,"Emile, Victor, Léon",XVIe législature,Aube Groupe Républicain radical et radical-socialiste,3 mai 1936,31 mai 1942,29 avril 1887,31 décembre 1944,1166,https://www2.assemblee-nationale.fr/sycomore/fiche/1166
Brandon,"Raoul, Jacques, Ernest",XIVe législature,Seine Groupe Républicain socialiste,29 avril 1928,31 mai 1932,24 mars 1878,4 décembre 1941,1176,https://www2.assemblee-nationale.fr/sycomore/fiche/1176
Brandon,"Raoul, Jacques, Ernest",XVe législature,Seine Groupe Parti républicain socialiste,8 mai 1932,31 mai 1936,24 mars 1878,4 décembre 1941,1176,https://www2.assemblee-nationale.fr/sycomore/fiche/1176
Brandon,"Raoul, Jacques, Ernest",XVIe législature,Seine Groupe Union socialiste et républicaine,3 mai 1936,4 décembre 1941,24 mars 1878,4 décembre 1941,1176,https://www2.assemblee-nationale.fr/sycomore/fiche/1176
Bret,"Georges, Robert, René, Léon",XIIIe législature,Ille-et-Vilaine Groupe Union républicaine démocratique,11 mai 1924,31 mai 1928,21 septembre 1885,11 décembre 1970,1195,https://www2.assemblee-nationale.fr/sycomore/fiche/1195
Bret,"Georges, Robert, René, Léon",XIVe législature,Ille-et-Vilaine Groupe Union républicaine démocratique,22 avril 1928,31 mai 1932,21 septembre 1885,11 décembre 1970,1195,https://www2.assemblee-nationale.fr/sycomore/fiche/1195
Bret,"Georges, Robert, René, Léon",XVe législature,Ille-et-Vilaine Groupe Députés du centre républicain,1 mai 1932,31 mai 1936,21 septembre 1885,11 décembre 1970,1195,https://www2.assemblee-nationale.fr/sycomore/fiche/1195
Bret,"Georges, Robert, René, Léon",XVIe législature,Ille-et-Vilaine Groupe Non inscrit,26 avril 1936,31 mai 1942,21 septembre 1885,11 décembre 1970,1195,https://www2.assemblee-nationale.fr/sycomore/fiche/1195
Brille,"Michel, Louis",XVIe législature,Somme Groupe Alliance des républicains de gauche et des radicaux indépendants,3 mai 1936,31 mai 1942,26 décembre 1895,14 janvier 1973,1229,https://www2.assemblee-nationale.fr/sycomore/fiche/1229
Briquet,"Camille, Victor, Joseph",XIVe législature,Eure Groupe Républicain radical et radical-socialiste,29 avril 1928,31 mai 1932,10 mars 1880,28 novembre 1960,1238,https://www2.assemblee-nationale.fr/sycomore/fiche/1238
Briquet,"Camille, Victor, Joseph",XVe législature,Eure Groupe Républicain radical et radical-socialiste,1 mai 1932,31 mai 1936,10 mars 1880,28 novembre 1960,1238,https://www2.assemblee-nationale.fr/sycomore/fiche/1238
Briquet,"Camille, Victor, Joseph",XVIe législature,Eure Groupe Républicain radical et radical-socialiste,3 mai 1936,31 mai 1942,10 mars 1880,28 novembre 1960,1238,https://www2.assemblee-nationale.fr/sycomore/fiche/1238
Brout,"Marcel, Louis, Charles",XVIe législature,Seine Groupe Communiste,3 mai 1936,31 mai 1942,23 mars 1887,24 mai 1957,1264,https://www2.assemblee-nationale.fr/sycomore/fiche/1264
Andraud,"Henry, Francisque, Bernard, Joseph",XIVe législature,Puy-de-Dôme Groupe Parti socialiste,29 avril 1928,31 mai 1932,9 avril 1895,27 septembre 1949,127,https://www2.assemblee-nationale.fr/sycomore/fiche/127
Andraud,"Henry, Francisque, Bernard, Joseph",XVe législature,Puy-de-Dôme Groupe Parti socialiste de France,1 mai 1932,31 mai 1936,9 avril 1895,27 septembre 1949,127,https://www2.assemblee-nationale.fr/sycomore/fiche/127
Andraud,"Henry, Francisque, Bernard, Joseph",XVIe législature,Puy-de-Dôme Groupe Non inscrit,3 mai 1936,31 mai 1942,9 avril 1895,27 septembre 1949,127,https://www2.assemblee-nationale.fr/sycomore/fiche/127
Brun,Félix,XVIe législature,Rhône Groupe Communiste,3 mai 1936,21 janvier 1940,18 décembre 1896,24 octobre 1964,1274,https://www2.assemblee-nationale.fr/sycomore/fiche/1274
Brunet,"Auguste, Charles, Désiré, Emmanuel",XIIIe législature,La Réunion Groupe Radical et radical-socialiste,11 mai 1924,31 mai 1928,4 janvier 1878,7 octobre 1957,1283,https://www2.assemblee-nationale.fr/sycomore/fiche/1283
Brunet,"Auguste, Charles, Désiré, Emmanuel",XIVe législature,La Réunion Groupe Indépendants de gauche,22 avril 1928,31 mai 1932,4 janvier 1878,7 octobre 1957,1283,https://www2.assemblee-nationale.fr/sycomore/fiche/1283
Brunet,"Auguste, Charles, Désiré, Emmanuel",XVe législature,La Réunion Groupe Indépendants de gauche,15 mai 1932,31 mai 1936,4 janvier 1878,7 octobre 1957,1283,https://www2.assemblee-nationale.fr/sycomore/fiche/1283
Brunet,"Auguste, Charles, Désiré, Emmanuel",XVIe législature,La Réunion Groupe Union socialiste et républicaine,26 avril 1936,31 mai 1942,4 janvier 1878,7 octobre 1957,1283,https://www2.assemblee-nationale.fr/sycomore/fiche/1283
Brunet,"René, Jean, Alfred",XIVe législature,Drôme Groupe Parti socialiste,29 avril 1928,31 mai 1932,13 novembre 1882,10 mars 1951,1290,https://www2.assemblee-nationale.fr/sycomore/fiche/1290
Brunet,"René, Jean, Alfred",XVe législature,Drôme Groupe Parti socialiste,1 mai 1932,31 mai 1936,13 novembre 1882,10 mars 1951,1290,https://www2.assemblee-nationale.fr/sycomore/fiche/1290
Brunet,"René, Jean, Alfred",XVIe législature,Drôme Groupe Socialiste,3 mai 1936,31 mai 1942,13 novembre 1882,10 mars 1951,1290,https://www2.assemblee-nationale.fr/sycomore/fiche/1290
Bugain,"Marcel, Henri",XVIe législature,Aisne Groupe Socialiste,29 janvier 1939,31 mai 1942,22 février 1898,22 novembre 1949,1302,https://www2.assemblee-nationale.fr/sycomore/fiche/1302
Buisset,"Séraphin, Léopold",XIe législature,Isère Groupe Parti socialiste,10 mai 1914,7 décembre 1919,10 juin 1870,9 janvier 1949,1304,https://www2.assemblee-nationale.fr/sycomore/fiche/1304
Buisset,"Séraphin, Léopold",XIIe législature,Isère Groupe Parti socialiste,16 novembre 1919,31 mai 1924,10 juin 1870,9 janvier 1949,1304,https://www2.assemblee-nationale.fr/sycomore/fiche/1304
Buisset,"Séraphin, Léopold",XIIIe législature,Isère Groupe Parti socialiste,11 mai 1924,31 mai 1928,10 juin 1870,9 janvier 1949,1304,https://www2.assemblee-nationale.fr/sycomore/fiche/1304
Buisset,"Séraphin, Léopold",XIVe législature,Isère Groupe Parti socialiste,29 avril 1928,31 mai 1932,10 juin 1870,9 janvier 1949,1304,https://www2.assemblee-nationale.fr/sycomore/fiche/1304
Buisset,"Séraphin, Léopold",XVe législature,Isère Groupe Parti socialiste,8 mai 1932,31 mai 1936,10 juin 1870,9 janvier 1949,1304,https://www2.assemblee-nationale.fr/sycomore/fiche/1304
Buisset,"Séraphin, Léopold",XVIe législature,Isère Groupe Socialiste,3 mai 1936,31 mai 1942,10 juin 1870,9 janvier 1949,1304,https://www2.assemblee-nationale.fr/sycomore/fiche/1304
Bureau,"Georges, Allyre, Marie, Médéric",Xe législature,Seine-Inférieure Groupe Gauche démocratique,8 mai 1910,31 mai 1914,31 janvier 1870,17 décembre 1940,1313,https://www2.assemblee-nationale.fr/sycomore/fiche/1313
Bureau,"Georges, Allyre, Marie, Médéric",XIe législature,Seine-Inférieure Groupe Républicains de gauche,26 avril 1914,7 décembre 1919,31 janvier 1870,17 décembre 1940,1313,https://www2.assemblee-nationale.fr/sycomore/fiche/1313
Bureau,"Georges, Allyre, Marie, Médéric",XIIe législature,Seine-Inférieure Groupe Républicains de gauche,16 novembre 1919,31 mai 1924,31 janvier 1870,17 décembre 1940,1313,https://www2.assemblee-nationale.fr/sycomore/fiche/1313
Bureau,"Georges, Allyre, Marie, Médéric",XIIIe législature,Seine-Inférieure Groupe Républicains de gauche,11 mai 1924,31 mai 1928,31 janvier 1870,17 décembre 1940,1313,https://www2.assemblee-nationale.fr/sycomore/fiche/1313
Bureau,"Georges, Allyre, Marie, Médéric",XIVe législature,Seine-Inférieure Groupe Républicains de gauche,22 avril 1928,31 mai 1932,31 janvier 1870,17 décembre 1940,1313,https://www2.assemblee-nationale.fr/sycomore/fiche/1313
Bureau,"Georges, Allyre, Marie, Médéric",XVe législature,Seine-Inférieure Groupe Républicains de gauche,1 mai 1932,31 mai 1936,31 janvier 1870,17 décembre 1940,1313,https://www2.assemblee-nationale.fr/sycomore/fiche/1313
Bureau,"Georges, Allyre, Marie, Médéric",XVIe législature,Seine-Inférieure Groupe Alliance des républicains de gauche et des radicaux indépendants,3 mai 1936,17 décembre 1940,31 janvier 1870,17 décembre 1940,1313,https://www2.assemblee-nationale.fr/sycomore/fiche/1313
Burgeot,"Pierre, Julien",XVIe législature,Rhône Groupe Fédération républicaine de France,3 mai 1936,31 mai 1942,21 mars 1886,18 juillet 1965,1314,https://www2.assemblee-nationale.fr/sycomore/fiche/1314
Burgeot,"Pierre, Julien",Ire Assemblée nationale constituante,Rhône Groupe Parti républicain de la liberté,21 octobre 1945,10 juin 1946,21 mars 1886,18 juillet 1965,1314,https://www2.assemblee-nationale.fr/sycomore/fiche/1314
Burrus,"Maurice, Jean, Marie",XVe législature,Haut-Rhin Groupe Indépendants de gauche,8 mai 1932,31 mai 1936,8 mars 1882,5 décembre 1959,1322,https://www2.assemblee-nationale.fr/sycomore/fiche/1322
Burrus,"Maurice, Jean, Marie",XVIe législature,Haut-Rhin Groupe Indépendants d'action populaire,26 avril 1936,31 mai 1942,8 mars 1882,5 décembre 1959,1322,https://www2.assemblee-nationale.fr/sycomore/fiche/1322
Burtin,"René, Valentin",XIVe législature,Saône-et-Loire Groupe Parti socialiste,29 avril 1928,31 mai 1932,28 mars 1892,10 janvier 1975,1323,https://www2.assemblee-nationale.fr/sycomore/fiche/1323
Burtin,"René, Valentin",XVIe législature,Saône-et-Loire Groupe Socialiste,26 avril 1936,31 mai 1942,28 mars 1892,10 janvier 1975,1323,https://www2.assemblee-nationale.fr/sycomore/fiche/1323
Buyat,"Louis, Antoine, Marie",VIIIe législature,Isère Groupe Radical-socialiste,11 mai 1902,31 mai 1906,26 janvier 1875,27 août 1963,1333,https://www2.assemblee-nationale.fr/sycomore/fiche/1333
Buyat,"Louis, Antoine, Marie",IXe législature,Isère Groupe Gauche radicale-socialiste,6 mai 1906,31 mai 1910,26 janvier 1875,27 août 1963,1333,https://www2.assemblee-nationale.fr/sycomore/fiche/1333
Buyat,"Louis, Antoine, Marie",XIVe législature,Isère Groupe Gauche sociale et radicale,29 avril 1928,31 mai 1932,26 janvier 1875,27 août 1963,1333,https://www2.assemblee-nationale.fr/sycomore/fiche/1333
Buyat,"Louis, Antoine, Marie",XVIe législature,Isère Groupe Alliance des républicains de gauche et des radicaux indépendants,3 mai 1936,31 mai 1942,26 janvier 1875,27 août 1963,1333,https://www2.assemblee-nationale.fr/sycomore/fiche/1333
Cabanis,"Paul, Léon, Rollin",XVe législature,Loiret Groupe Républicain radical et radical-socialiste,6 octobre 1935,31 mai 1936,9 novembre 1892,26 février 1944,1336,https://www2.assemblee-nationale.fr/sycomore/fiche/1336
Cabanis,"Paul, Léon, Rollin",XVIe législature,Loiret Groupe Républicain radical et radical-socialiste,3 mai 1936,31 mai 1942,9 novembre 1892,26 février 1944,1336,https://www2.assemblee-nationale.fr/sycomore/fiche/1336
Cabannes,"Gaston, Marie, Léon",XVe législature,Gironde Groupe Parti socialiste,8 mai 1932,31 mai 1936,12 août 1882,9 novembre 1950,1337,https://www2.assemblee-nationale.fr/sycomore/fiche/1337
Cabannes,"Gaston, Marie, Léon",XVIe législature,Gironde Groupe Socialiste,3 mai 1936,31 mai 1942,12 août 1882,9 novembre 1950,1337,https://www2.assemblee-nationale.fr/sycomore/fiche/1337
Cabannes,"Gaston, Marie, Léon",Ire Assemblée nationale constituante,Gironde Groupe Socialiste,21 octobre 1945,10 juin 1946,12 août 1882,9 novembre 1950,1337,https://www2.assemblee-nationale.fr/sycomore/fiche/1337
Cadic,"Joseph, Marie, Augustin",XIIIe législature,Morbihan Groupe Union républicaine démocratique,11 mai 1924,31 mai 1928,5 septembre 1886,7 mai 1971,1350,https://www2.assemblee-nationale.fr/sycomore/fiche/1350
Cadic,"Joseph, Marie, Augustin",XIVe législature,Morbihan Groupe Union républicaine démocratique,29 avril 1928,31 mai 1932,5 septembre 1886,7 mai 1971,1350,https://www2.assemblee-nationale.fr/sycomore/fiche/1350
Cadic,"Joseph, Marie, Augustin",XVIe législature,Morbihan Groupe Non inscrit,26 avril 1936,31 mai 1942,5 septembre 1886,7 mai 1971,1350,https://www2.assemblee-nationale.fr/sycomore/fiche/1350
Cadic,"Joseph, Marie, Augustin",IIIe législature,Morbihan Groupe Paysan,2 janvier 1956,8 décembre 1958,5 septembre 1886,7 mai 1971,1350,https://www2.assemblee-nationale.fr/sycomore/fiche/1350
Cadot,"Henri, Emile, Christian",XIe législature,Pas-de-Calais Groupe Parti socialiste,26 avril 1914,7 décembre 1919,22 avril 1864,13 décembre 1947,1353,https://www2.assemblee-nationale.fr/sycomore/fiche/1353
Cadot,"Henri, Emile, Christian",XIIe législature,Pas-de-Calais Groupe Parti socialiste,16 novembre 1919,31 mai 1924,22 avril 1864,13 décembre 1947,1353,https://www2.assemblee-nationale.fr/sycomore/fiche/1353
Cadot,"Henri, Emile, Christian",XIIIe législature,Pas-de-Calais Groupe Parti socialiste,11 mai 1924,31 mai 1928,22 avril 1864,13 décembre 1947,1353,https://www2.assemblee-nationale.fr/sycomore/fiche/1353
Cadot,"Henri, Emile, Christian",XIVe législature,Pas-de-Calais Groupe Parti socialiste,22 avril 1928,7 février 1931,22 avril 1864,13 décembre 1947,1353,https://www2.assemblee-nationale.fr/sycomore/fiche/1353
Cadot,"Henri, Emile, Christian",XVIe législature,Pas-de-Calais Groupe Socialiste,3 mai 1936,31 mai 1942,22 avril 1864,13 décembre 1947,1353,https://www2.assemblee-nationale.fr/sycomore/fiche/1353
Camel,François,XVIe législature,Ariège Groupe Socialiste,3 mai 1936,1 mai 1941,3 mai 1893,1 mai 1941,1400,https://www2.assemblee-nationale.fr/sycomore/fiche/1400
Campargue,"Paul, Jean, Louis",XVIe législature,Yonne Groupe Socialiste,3 mai 1936,31 mai 1942,21 septembre 1903,14 février 1969,1404,https://www2.assemblee-nationale.fr/sycomore/fiche/1404
Campinchi,"César, Sampiero, Auguste, Napoléon, Jérôme",XVe législature,Corse Groupe Républicain radical et radical-socialiste,1 mai 1932,31 mai 1936,4 mai 1882,22 février 1941,1406,https://www2.assemblee-nationale.fr/sycomore/fiche/1406
Campinchi,"César, Sampiero, Auguste, Napoléon, Jérôme",XVIe législature,Corse Groupe Républicain radical et radical-socialiste,26 avril 1936,22 février 1941,4 mai 1882,22 février 1941,1406,https://www2.assemblee-nationale.fr/sycomore/fiche/1406
Camus,"Lucien, Eugène, René",XVIe législature,Seine-et-Oise Groupe Parti Camille Pelletan,3 mai 1936,31 mai 1942,8 juillet 1876,12 avril 1947,1407,https://www2.assemblee-nationale.fr/sycomore/fiche/1407
Candace,Gratien,Xe législature,Guadeloupe,4 février 1912,31 mai 1914,18 décembre 1873,11 avril 1953,1415,https://www2.assemblee-nationale.fr/sycomore/fiche/1415
Candace,Gratien,XIe législature,Guadeloupe Groupe Union républicaine radicale et socialiste,26 avril 1914,7 décembre 1919,18 décembre 1873,11 avril 1953,1415,https://www2.assemblee-nationale.fr/sycomore/fiche/1415
Candace,Gratien,XIIe législature,Guadeloupe,14 décembre 1919,31 mai 1924,18 décembre 1873,11 avril 1953,1415,https://www2.assemblee-nationale.fr/sycomore/fiche/1415
Candace,Gratien,XIIIe législature,Guadeloupe Groupe Républicain socialiste et socialiste français,11 mai 1924,31 mai 1928,18 décembre 1873,11 avril 1953,1415,https://www2.assemblee-nationale.fr/sycomore/fiche/1415
Candace,Gratien,XIVe législature,Guadeloupe Groupe Gauche radicale,29 avril 1928,31 mai 1932,18 décembre 1873,11 avril 1953,1415,https://www2.assemblee-nationale.fr/sycomore/fiche/1415
Candace,Gratien,XVe législature,Guadeloupe Groupe Gauche radicale,1 mai 1932,31 mai 1936,18 décembre 1873,11 avril 1953,1415,https://www2.assemblee-nationale.fr/sycomore/fiche/1415
Candace,Gratien,XVIe législature,Guadeloupe Groupe Gauche démocratique et radicale indépendante,26 avril 1936,31 mai 1942,18 décembre 1873,11 avril 1953,1415,https://www2.assemblee-nationale.fr/sycomore/fiche/1415
Capron,"Marcel, Albert",XVe législature,Seine Groupe Communiste,8 mai 1932,31 mai 1936,24 mars 1896,28 septembre 1982,1428,https://www2.assemblee-nationale.fr/sycomore/fiche/1428
Capron,"Marcel, Albert",XVIe législature,Seine Groupe Communiste,26 avril 1936,31 mai 1942,24 mars 1896,28 septembre 1982,1428,https://www2.assemblee-nationale.fr/sycomore/fiche/1428
Carron,Hyacinthe,XIIIe législature,Savoie Groupe Radical et radical-socialiste,11 mai 1924,31 mai 1928,1 juillet 1879,3 décembre 1953,1470,https://www2.assemblee-nationale.fr/sycomore/fiche/1470
Carron,Hyacinthe,XIVe législature,Savoie Groupe Républicain radical et radical-socialiste,22 avril 1928,31 mai 1932,1 juillet 1879,3 décembre 1953,1470,https://www2.assemblee-nationale.fr/sycomore/fiche/1470
Carron,Hyacinthe,XVe législature,Savoie Groupe Républicain radical et radical-socialiste,1 mai 1932,31 mai 1936,1 juillet 1879,3 décembre 1953,1470,https://www2.assemblee-nationale.fr/sycomore/fiche/1470
Carron,Hyacinthe,XVIe législature,Savoie Groupe Républicain radical et radical-socialiste,3 mai 1936,31 mai 1942,1 juillet 1879,3 décembre 1953,1470,https://www2.assemblee-nationale.fr/sycomore/fiche/1470
Castagnez,"Jean, Marcel",XVe législature,Cher Groupe Parti socialiste,8 mai 1932,31 mai 1936,29 avril 1902,5 juillet 1976,1497,https://www2.assemblee-nationale.fr/sycomore/fiche/1497
Castagnez,"Jean, Marcel",XVIe législature,Cher Groupe Socialiste,3 mai 1936,31 mai 1942,29 avril 1902,5 juillet 1976,1497,https://www2.assemblee-nationale.fr/sycomore/fiche/1497
Castel,Léon,XIIe législature,Aude Groupe Parti radical et radical socialiste,16 novembre 1919,31 mai 1924,7 février 1871,27 février 1955,1500,https://www2.assemblee-nationale.fr/sycomore/fiche/1500
Castel,Léon,XIIIe législature,Aude Groupe Radical et radical-socialiste,11 mai 1924,31 mai 1928,7 février 1871,27 février 1955,1500,https://www2.assemblee-nationale.fr/sycomore/fiche/1500
Castel,Léon,XIVe législature,Aude Groupe Républicain radical et radical-socialiste,22 avril 1928,31 mai 1932,7 février 1871,27 février 1955,1500,https://www2.assemblee-nationale.fr/sycomore/fiche/1500
