nom,prenom,role,from_date,to_date,birth_date,death_date,senat_id,url
ALHERITIERE,Henri,Creuse,10 janvier 1939,21 octobre 1945,1er février 1882,16 avril 1956,alheritiere_henri0651r3,https://www.senat.fr/senateur-3eme-republique/alheritiere_henri0651r3.html
ALLEGRE,Vincent,Martinique,17 décembre 1882,1er février 1883,7 août 1835,18 mai 1899,allegre_vincent0697r3,https://www.senat.fr/senateur-3eme-republique/allegre_vincent0697r3.html
ALLEGRE,Vincent,Martinique,21 octobre 1888,18 mai 1899,7 août 1835,18 mai 1899,allegre_vincent0697r3,https://www.senat.fr/senateur-3eme-republique/allegre_vincent0697r3.html
ALLEGRE,Vincent,Martinique,3 janvier 1897,,7 août 1835,18 mai 1899,allegre_vincent0697r3,https://www.senat.fr/senateur-3eme-republique/allegre_vincent0697r3.html
ALLEMAND,César,Basses-Alpes,4 juillet 1897,3 janvier 1903,10 juin 1846,27 janvier 1918,allemand_cesar0058r3,https://www.senat.fr/senateur-3eme-republique/allemand_cesar0058r3.html
ALLEMAND,Clément,Haute-Loire,10 mars 1891,27 mars 1900,17 octobre 1826,27 mars 1900,allemand_clement0512r3,https://www.senat.fr/senateur-3eme-republique/allemand_clement0512r3.html
ALLEMAND,Clément,Haute-Loire,3 janvier 1897,,17 octobre 1826,27 mars 1900,allemand_clement0512r3,https://www.senat.fr/senateur-3eme-republique/allemand_clement0512r3.html
ALLENOU,Jean,Côtes-du-Nord,30 janvier 1876,21 juillet 1880,22 avril 1818,21 juillet 1880,allenou_jean0564r3,https://www.senat.fr/senateur-3eme-republique/allenou_jean0564r3.html
ALLOU,Edouard,Inamovible,10 juillet 1882,12 juillet 1888,6 mars 1820,12 juillet 1888,allou_edouard1426r3,https://www.senat.fr/senateur-3eme-republique/allou_edouard1426r3.html
AMAT,Jean,Haute-Garonne,27 septembre 1936,31 décembre 1941,14 juin 1877,9 août 1961,amat_jean0098r3,https://www.senat.fr/senateur-3eme-republique/amat_jean0098r3.html
AMIARD,Louis,Seine-et-Oise,14 février 1926,9 janvier 1927,4 avril 1872,18 juin 1935,amiard_louis1670r3,https://www.senat.fr/senateur-3eme-republique/amiard_louis1670r3.html
AMIARD,Louis,Seine-et-Oise,9 janvier 1927,18 juin 1935,4 avril 1872,18 juin 1935,amiard_louis1670r3,https://www.senat.fr/senateur-3eme-republique/amiard_louis1670r3.html
AMIC,Jean,Alpes-Maritimes,30 juillet 1911,10 février 1926,30 juillet 1864,10 février 1926,amic_jean0117r3,https://www.senat.fr/senateur-3eme-republique/amic_jean0117r3.html
AMIC,Jean,Alpes-Maritimes,7 janvier 1912,,30 juillet 1864,10 février 1926,amic_jean0117r3,https://www.senat.fr/senateur-3eme-republique/amic_jean0117r3.html
AMIC,Jean,Alpes-Maritimes,6 janvier 1921,,30 juillet 1864,10 février 1926,amic_jean0117r3,https://www.senat.fr/senateur-3eme-republique/amic_jean0117r3.html
ANCEL,Daniel,Seine-Inférieure,30 janvier 1876,8 janvier 1882,16 octobre 1812,16 septembre 1905,ancel_daniel1580r3,https://www.senat.fr/senateur-3eme-republique/ancel_daniel1580r3.html
ANCEL,Daniel,Seine-Inférieure,8 janvier 1882,3 janvier 1891,16 octobre 1812,16 septembre 1905,ancel_daniel1580r3,https://www.senat.fr/senateur-3eme-republique/ancel_daniel1580r3.html
ANCEL,Raoul,Seine-Inférieure,3 janvier 1909,5 octobre 1911,7 juin 1846,5 octobre 1911,ancel_raoul1615r3,https://www.senat.fr/senateur-3eme-republique/ancel_raoul1615r3.html
ANDRE,Adrien,Vienne,14 janvier 1936,31 décembre 1944,29 mai 1884,22 avril 1965,andre_adrien1762r3,https://www.senat.fr/senateur-3eme-republique/andre_adrien1762r3.html
ANDRIEU,Edouard,Tarn,11 janvier 1920,13 janvier 1936,20 décembre 1862,9 juin 1944,andrieu_edouard1688r3,https://www.senat.fr/senateur-3eme-republique/andrieu_edouard1688r3.html
ANDRIEU,Edouard,Tarn,9 janvier 1927,,20 décembre 1862,9 juin 1944,andrieu_edouard1688r3,https://www.senat.fr/senateur-3eme-republique/andrieu_edouard1688r3.html
ANDRIEUX,Louis,Basses-Alpes,4 janvier 1903,27 janvier 1903,24 juillet 1840,27 août 1931,andrieux_louis0059r3,https://www.senat.fr/senateur-3eme-republique/andrieux_louis0059r3.html
ANGLADE,Clément,Ariège,10 octobre 1880,24 novembre 1881,10 décembre 1800,24 novembre 1881,anglade_clement0180r3,https://www.senat.fr/senateur-3eme-republique/anglade_clement0180r3.html
ANGLES,Eugène,Var,4 janvier 1891,7 décembre 1897,24 octobre 1838,7 décembre 1897,angles_eugene1731r3,https://www.senat.fr/senateur-3eme-republique/angles_eugene1731r3.html
ANNE,Norbert,Calvados,18 octobre 1892,5 novembre 1894,5 mai 1840,5 novembre 1894,anne_norbert0334r3,https://www.senat.fr/senateur-3eme-republique/anne_norbert0334r3.html
ANNE,Norbert,Calvados,7 janvier 1894,,5 mai 1840,5 novembre 1894,anne_norbert0334r3,https://www.senat.fr/senateur-3eme-republique/anne_norbert0334r3.html
ANTIER,Joseph,Haute-Loire,23 octobre 1938,31 décembre 1941,31 mai 1868,22 septembre 1943,antier_joseph0515r3,https://www.senat.fr/senateur-3eme-republique/antier_joseph0515r3.html
ARAGO,Emmanuel,Pyrénées-Orientales,30 janvier 1876,26 novembre 1896,6 août 1812,26 novembre 1896,arago_emmanuel1087r3,https://www.senat.fr/senateur-3eme-republique/arago_emmanuel1087r3.html
ARAGO,Emmanuel,Pyrénées-Orientales,8 janvier 1882,,6 août 1812,26 novembre 1896,arago_emmanuel1087r3,https://www.senat.fr/senateur-3eme-republique/arago_emmanuel1087r3.html
ARAGO,Emmanuel,Pyrénées-Orientales,4 janvier 1891,,6 août 1812,26 novembre 1896,arago_emmanuel1087r3,https://www.senat.fr/senateur-3eme-republique/arago_emmanuel1087r3.html
ARBEL,Lucien,Loire,30 janvier 1876,4 janvier 1888,"5 septembre
1826",,arbel_lucien1344r3,https://www.senat.fr/senateur-3eme-republique/arbel_lucien1344r3.html
ARBEL,Lucien,Loire,5 janvier 1879,,"5 septembre
1826",,arbel_lucien1344r3,https://www.senat.fr/senateur-3eme-republique/arbel_lucien1344r3.html
ARENE,Emmanuel,Corse,18 septembre 1904,15 août 1908,1er janvier 1856,,arene_emmanuel0489r3,https://www.senat.fr/senateur-3eme-republique/arene_emmanuel0489r3.html
ARMBRUSTER,Raymond,Aube,9 janvier 1927,21 octobre 1945,19 septembre 1879,2 mai 1953,armbruster_raymond0231r3,https://www.senat.fr/senateur-3eme-republique/armbruster_raymond0231r3.html
ARMBRUSTER,Raymond,Aube,14 janvier 1930,,19 septembre 1879,2 mai 1953,armbruster_raymond0231r3,https://www.senat.fr/senateur-3eme-republique/armbruster_raymond0231r3.html
ARMBRUSTER,Raymond,Aube,10 janvier 1939,,19 septembre 1879,2 mai 1953,armbruster_raymond0231r3,https://www.senat.fr/senateur-3eme-republique/armbruster_raymond0231r3.html
ARNAUDEAU,Eugène,Vienne,2 décembre 1877,3 janvier 1891,8 septembre 1821,3 mai 1891,arnaudeau_eugene1758r3,https://www.senat.fr/senateur-3eme-republique/arnaudeau_eugene1758r3.html
ARNAUDEAU,Eugène,Vienne,8 janvier 1882,,8 septembre 1821,3 mai 1891,arnaudeau_eugene1758r3,https://www.senat.fr/senateur-3eme-republique/arnaudeau_eugene1758r3.html
ARTAUD,Louis,Bouches-du-Rhône,11 janvier 1920,8 janvier 1921,20 mai 1852,12 décembre 1937,artaud_louis0323r3,https://www.senat.fr/senateur-3eme-republique/artaud_louis0323r3.html
ASTIER,Marcel,Ardèche,10 janvier 1939,21 octobre 1945,7 janvier 1885,21 septembre 1947,astier_marcel0136r3,https://www.senat.fr/senateur-3eme-republique/astier_marcel0136r3.html
ASTIER,Placide,Ardèche,2 octobre 1910,6 mars 1918,23 février 1856,6 mars 1918,astier_placide0139r3,https://www.senat.fr/senateur-3eme-republique/astier_placide0139r3.html
ASTIER,Placide,Ardèche,7 janvier 1912,,23 février 1856,6 mars 1918,astier_placide0139r3,https://www.senat.fr/senateur-3eme-republique/astier_placide0139r3.html
ASTIER,Placide,Ardèche,20 mai 1906,,23 février 1856,6 mars 1918,astier_placide0139r3,https://www.senat.fr/senateur-3eme-republique/astier_placide0139r3.html
ASTOR,Joseph,Finistère,13 avril 1890,20 avril 1901,27 juin 1824,20 avril 1901,astor_joseph0814r3,https://www.senat.fr/senateur-3eme-republique/astor_joseph0814r3.html
ASTOR,Joseph,Finistère,7 janvier 1894,,27 juin 1824,20 avril 1901,astor_joseph0814r3,https://www.senat.fr/senateur-3eme-republique/astor_joseph0814r3.html
AUBER,Joseph,La Réunion,18 janvier 1920,5 juin 1928,29 avril 1867,5 juin 1928,auber_joseph0851r3,https://www.senat.fr/senateur-3eme-republique/auber_joseph0851r3.html
AUBER,Joseph,La Réunion,9 janvier 1921,,29 avril 1867,5 juin 1928,auber_joseph0851r3,https://www.senat.fr/senateur-3eme-republique/auber_joseph0851r3.html
AUBRELICQUE,Jean-louis,Oise,30 janvier 1876,4 janvier 1879,7 avril 1814,2 avril 1879,aubrelicque_jean_louis0882r3,https://www.senat.fr/senateur-3eme-republique/aubrelicque_jean_louis0882r3.html
AUBRY,Charles,,7 janvier 1906,10 janvier 1920,22 juin 1853,27 février 1939,aubry_charles0694r3,https://www.senat.fr/senateur-3eme-republique/aubry_charles0694r3.html
AUCOIN,Louis,Gers,3 janvier 1897,6 janvier 1906,25 août 1834,25 janvier 1913,aucoin_louis0153r3,https://www.senat.fr/senateur-3eme-republique/aucoin_louis0153r3.html
AUDIFFRED,Jean-Honoré,Loire,30 décembre 1894,21 janvier 1895,12 décembre 1840,27 octobre 1917,audiffred_jean_honore1321r3,https://www.senat.fr/senateur-3eme-republique/audiffred_jean_honore1321r3.html
AUDIFFRED,Jean-Honoré,Loire,23 octobre 1904,27 octobre 1917,12 décembre 1840,27 octobre 1917,audiffred_jean_honore1321r3,https://www.senat.fr/senateur-3eme-republique/audiffred_jean_honore1321r3.html
AUDIFFRED,Jean-Honoré,Loire,7 janvier 1906,,12 décembre 1840,27 octobre 1917,audiffred_jean_honore1321r3,https://www.senat.fr/senateur-3eme-republique/audiffred_jean_honore1321r3.html
AUDREN DE KERDREL,Roger,Morbihan,29 août 1909,10 janvier 1920,28 février 1841,27 juin 1929,audren_de_kerdrel_roger0915r3,https://www.senat.fr/senateur-3eme-republique/audren_de_kerdrel_roger0915r3.html
AUDREN DE KERDREL,Vincent,Morbihan,30 janvier 1876,22 décembre 1899,27 septembre 1815,22 décembre 1899,audren_de_kerdrel_vincent0893r3,https://www.senat.fr/senateur-3eme-republique/audren_de_kerdrel_vincent0893r3.html
AUDREN DE KERDREL,Vincent,Morbihan,5 janvier 1879,,27 septembre 1815,22 décembre 1899,audren_de_kerdrel_vincent0893r3,https://www.senat.fr/senateur-3eme-republique/audren_de_kerdrel_vincent0893r3.html
AUDREN DE KERDREL,Vincent,Morbihan,5 janvier 1888,,27 septembre 1815,22 décembre 1899,audren_de_kerdrel_vincent0893r3,https://www.senat.fr/senateur-3eme-republique/audren_de_kerdrel_vincent0893r3.html
AUDREN DE KERDREL,Vincent,Morbihan,3 janvier 1897,,27 septembre 1815,22 décembre 1899,audren_de_kerdrel_vincent0893r3,https://www.senat.fr/senateur-3eme-republique/audren_de_kerdrel_vincent0893r3.html
AURAY,Charles,Seine,9 janvier 1927,31 janvier 1938,15 septembre 1879,31 janvier 1938,auray_charles1351r3,https://www.senat.fr/senateur-3eme-republique/auray_charles1351r3.html
AURAY,Charles,Seine,14 janvier 1936,,15 septembre 1879,31 janvier 1938,auray_charles1351r3,https://www.senat.fr/senateur-3eme-republique/auray_charles1351r3.html
AUXAIS (d'),Jules,Manche,30 janvier 1876,4 janvier 1879,10 juillet 1818,,auxais_d_jules1039r3,https://www.senat.fr/senateur-3eme-republique/auxais_d_jules1039r3.html
AYME,Léo,Deux-Sèvres,4 janvier 1891,30 mai 1891,20 mai 1836,30 mai 1891,ayme_leo1622r3,https://www.senat.fr/senateur-3eme-republique/ayme_leo1622r3.html
AZEMAR,Eugène,Haute-Garonne,15 mai 1938,10 avril 1940,2 janvier 1877,10 avril 1940,azemar_eugene0090r3,https://www.senat.fr/senateur-3eme-republique/azemar_eugene0090r3.html
BABAUD-LACROZE,Léonide,Charente,10 février 1929,21 octobre 1945,14 août 1876,4 février 1949,babaud_lacroze_leonide0398r3,https://www.senat.fr/senateur-3eme-republique/babaud_lacroze_leonide0398r3.html
BABAUD-LACROZE,Léonide,Charente,14 janvier 1930,,14 août 1876,4 février 1949,babaud_lacroze_leonide0398r3,https://www.senat.fr/senateur-3eme-republique/babaud_lacroze_leonide0398r3.html
BABAUD-LACROZE,Léonide,Charente,10 janvier 1939,,14 août 1876,4 février 1949,babaud_lacroze_leonide0398r3,https://www.senat.fr/senateur-3eme-republique/babaud_lacroze_leonide0398r3.html
BABIN-CHEVAYE,Jean,Loire-Inférieure,11 janvier 1920,6 janvier 1924,3 avril 1863,11 septembre 1936,babin_chevaye_jean1285r3,https://www.senat.fr/senateur-3eme-republique/babin_chevaye_jean1285r3.html
BABIN-CHEVAYE,Jean,Loire-Inférieure,6 janvier 1924,10 janvier 1933,3 avril 1863,11 septembre 1936,babin_chevaye_jean1285r3,https://www.senat.fr/senateur-3eme-republique/babin_chevaye_jean1285r3.html
BABIN-CHEVAYE,Jean,Loire-Inférieure,10 janvier 1933,11 septembre 1936,3 avril 1863,11 septembre 1936,babin_chevaye_jean1285r3,https://www.senat.fr/senateur-3eme-republique/babin_chevaye_jean1285r3.html
BACHASSON de MONTALIVET,Camille,Inamovible,14 février 1879,4 janvier 1880,24 mars 1801,,bachasson_de_montalivet_camille1516r3,https://www.senat.fr/senateur-3eme-republique/bachasson_de_montalivet_camille1516r3.html
BACHELET,Alexandre,Seine,9 janvier 1927,31 décembre 1944,6 janvier 1866,1er août 1945,bachelet_alexandre1563r3,https://www.senat.fr/senateur-3eme-republique/bachelet_alexandre1563r3.html
BACHELET,Alexandre,Seine,14 janvier 1936,,6 janvier 1866,1er août 1945,bachelet_alexandre1563r3,https://www.senat.fr/senateur-3eme-republique/bachelet_alexandre1563r3.html
BACHELET,Henri,Pas-de-Calais,11 janvier 1920,9 janvier 1927,7 septembre 1852,1er octobre 1930,bachelet_henri0973r3,https://www.senat.fr/senateur-3eme-republique/bachelet_henri0973r3.html
BACHELET,Henri,Pas-de-Calais,9 janvier 1927,1er octobre 1930,7 septembre 1852,1er octobre 1930,bachelet_henri0973r3,https://www.senat.fr/senateur-3eme-republique/bachelet_henri0973r3.html
BACHELET,Paul,Pas-de-Calais,14 janvier 1936,31 décembre 1944,17 novembre 1878,26 février 1967,bachelet_paul0982r3,https://www.senat.fr/senateur-3eme-republique/bachelet_paul0982r3.html
BADUEL,Albert,Cantal,18 octobre 1891,3 janvier 1903,25 avril 1844,11 mars 1907,baduel_albert0360r3,https://www.senat.fr/senateur-3eme-republique/baduel_albert0360r3.html
BADUEL,Albert,Cantal,7 janvier 1894,,25 avril 1844,11 mars 1907,baduel_albert0360r3,https://www.senat.fr/senateur-3eme-republique/baduel_albert0360r3.html
BAILLARDEL DE LAREINTY,Henri,Loire-Inférieure,30 janvier 1876,9 mars 1901,19 janvier 1824,9 mars 1901,baillardel_de_lareinty_henri1271r3,https://www.senat.fr/senateur-3eme-republique/baillardel_de_lareinty_henri1271r3.html
BAILLARDEL DE LAREINTY,Henri,Loire-Inférieure,5 janvier 1879,,19 janvier 1824,9 mars 1901,baillardel_de_lareinty_henri1271r3,https://www.senat.fr/senateur-3eme-republique/baillardel_de_lareinty_henri1271r3.html
BAILLARDEL DE LAREINTY,Henri,Loire-Inférieure,5 janvier 1888,,19 janvier 1824,9 mars 1901,baillardel_de_lareinty_henri1271r3,https://www.senat.fr/senateur-3eme-republique/baillardel_de_lareinty_henri1271r3.html
BAILLARDEL DE LAREINTY,Henri,Loire-Inférieure,3 janvier 1897,,19 janvier 1824,9 mars 1901,baillardel_de_lareinty_henri1271r3,https://www.senat.fr/senateur-3eme-republique/baillardel_de_lareinty_henri1271r3.html
BARAGNON,Pierre,Inamovible,15 novembre 1878,18 mai 1892,24 novembre 1835,18 mai 1892,baragnon_pierre1429r3,https://www.senat.fr/senateur-3eme-republique/baragnon_pierre1429r3.html
BARBAZA,Auguste,Aude,27 mars 1904,6 janvier 1912,24 octobre 1845,1er octobre 1912,barbaza_auguste0272r3,https://www.senat.fr/senateur-3eme-republique/barbaza_auguste0272r3.html
BARBEDETTE,Pierre,Charente-Inférieure,25 janvier 1885,6 janvier 1894,17 mars 1827,1er février 1901,barbedette_pierre0411r3,https://www.senat.fr/senateur-3eme-republique/barbedette_pierre0411r3.html
BARBEY,Edouard,Tarn,8 janvier 1882,26 mars 1905,2 septembre 1831,26 mars 1905,barbey_edouard1693r3,https://www.senat.fr/senateur-3eme-republique/barbey_edouard1693r3.html
BARBEY,Edouard,Tarn,4 janvier 1891,,2 septembre 1831,26 mars 1905,barbey_edouard1693r3,https://www.senat.fr/senateur-3eme-republique/barbey_edouard1693r3.html
BARBEY,Edouard,Tarn,28 janvier 1900,,2 septembre 1831,26 mars 1905,barbey_edouard1693r3,https://www.senat.fr/senateur-3eme-republique/barbey_edouard1693r3.html
BARBIER,André,Vosges,13 mai 1934,31 décembre 1944,3 mars 1885,7 avril 1962,barbier_andre1813r3,https://www.senat.fr/senateur-3eme-republique/barbier_andre1813r3.html
BARBIER,André,Vosges,14 janvier 1936,,3 mars 1885,7 avril 1962,barbier_andre1813r3,https://www.senat.fr/senateur-3eme-republique/barbier_andre1813r3.html
BARBIER,Léon,Seine,3 janvier 1909,26 juin 1919,31 janvier 1853,26 juin 1919,barbier_leon1349r3,https://www.senat.fr/senateur-3eme-republique/barbier_leon1349r3.html
BARDOUX,Agénor,Inamovible,7 décembre 1882,23 novembre 1897,15 janvier 1829,23 novembre 1897,bardoux_agenor1430r3,https://www.senat.fr/senateur-3eme-republique/bardoux_agenor1430r3.html
BARDOUX,Jacques,Puy-de-Dôme,30 octobre 1938,31 décembre 1944,27 mai 1874,15 août 1959,bardoux_jacques1008r3,https://www.senat.fr/senateur-3eme-republique/bardoux_jacques1008r3.html
BARNE,Henry,Bouches-du-Rhône,5 janvier 1879,29 septembre 1893,9 septembre 1831,29 septembre 1893,barne_henry0321r3,https://www.senat.fr/senateur-3eme-republique/barne_henry0321r3.html
BARNE,Henry,Bouches-du-Rhône,25 janvier 1885,,9 septembre 1831,29 septembre 1893,barne_henry0321r3,https://www.senat.fr/senateur-3eme-republique/barne_henry0321r3.html
BARODET,Désiré,Seine,12 avril 1896,27 janvier 1900,27 juillet 1823,18 avril 1906,barodet_desire1412r3,https://www.senat.fr/senateur-3eme-republique/barodet_desire1412r3.html
BARRIERE,Charles,Puy-de-Dôme,4 janvier 1891,28 janvier 1900,27 septembre 1830,19 août 1910,barriere_charles1004r3,https://www.senat.fr/senateur-3eme-republique/barriere_charles1004r3.html
BARRIERE,Charles,Puy-de-Dôme,28 janvier 1900,2 janvier 1909,27 septembre 1830,19 août 1910,barriere_charles1004r3,https://www.senat.fr/senateur-3eme-republique/barriere_charles1004r3.html
BARROT,Ferdinand,Inamovible,4 décembre 1877,12 novembre 1883,10 janvier 1806,12 novembre 1883,barrot_ferdinand1431r3,https://www.senat.fr/senateur-3eme-republique/barrot_ferdinand1431r3.html
BARTHE,Marcel,Basses-Pyrénées,8 janvier 1882,27 janvier 1900,15 janvier 1813,16 février 1900,barthe_marcel1046r3,https://www.senat.fr/senateur-3eme-republique/barthe_marcel1046r3.html
BARTHE,Marcel,Basses-Pyrénées,4 janvier 1891,,15 janvier 1813,16 février 1900,barthe_marcel1046r3,https://www.senat.fr/senateur-3eme-republique/barthe_marcel1046r3.html
BARTHELEMY SAINT-HILAIRE,Jules,Inamovible,10 décembre 1875,24 novembre 1895,19 août 1805,24 novembre 1895,barthelemy_saint_hilaire_jules1432r3,https://www.senat.fr/senateur-3eme-republique/barthelemy_saint_hilaire_jules1432r3.html
BARTHOU,Louis,Basses-Pyrénées,16 juillet 1922,9 octobre 1934,23 août 1862,9 octobre 1934,barthou_louis1071r3,https://www.senat.fr/senateur-3eme-republique/barthou_louis1071r3.html
BARTHOU,Louis,Basses-Pyrénées,9 janvier 1927,,23 août 1862,9 octobre 1934,barthou_louis1071r3,https://www.senat.fr/senateur-3eme-republique/barthou_louis1071r3.html
BASSINET,Athanase,Seine,12 février 1899,12 février 1914,16 mai 1850,12 février 1914,bassinet_athanase1557r3,https://www.senat.fr/senateur-3eme-republique/bassinet_athanase1557r3.html
BASSINET,Athanase,Seine,28 janvier 1900,,16 mai 1850,12 février 1914,bassinet_athanase1557r3,https://www.senat.fr/senateur-3eme-republique/bassinet_athanase1557r3.html
BASSINET,Athanase,Seine,30 janvier 1909,,16 mai 1850,12 février 1914,bassinet_athanase1557r3,https://www.senat.fr/senateur-3eme-republique/bassinet_athanase1557r3.html
BASTARD d'ESTANG,Guillaume,Lot-et-Garonne,30 janvier 1876,4 janvier 1879,21 août 1831,11 mai 1884,bastard_d_estang_guillaume0731r3,https://www.senat.fr/senateur-3eme-republique/bastard_d_estang_guillaume0731r3.html
BASTIDE,Jules,Seine-et-Marne,19 avril 1896,27 janvier 1900,19 octobre 1831,25 avril 1912,bastide_jules1581r3,https://www.senat.fr/senateur-3eme-republique/bastide_jules1581r3.html
BASTON de LA RIBOISIERE,Ferdinand,Ille-et-Vilaine,7 janvier 1906,23 décembre 1919,1er janvier 1856,3 mai 1931,baston_de_la_riboisiere_ferdinand0556r3,https://www.senat.fr/senateur-3eme-republique/baston_de_la_riboisiere_ferdinand0556r3.html
BATAILLE,Victor,Puy-de-Dôme,28 janvier 1900,2 juillet 1908,15 janvier 1848,2 juillet 1908,bataille_victor0993r3,https://www.senat.fr/senateur-3eme-republique/bataille_victor0993r3.html
BATBIE,Anselme,Gers,30 janvier 1876,12 juin 1887,31 mai 1828,12 juin 1887,batbie_anselme0151r3,https://www.senat.fr/senateur-3eme-republique/batbie_anselme0151r3.html
BATBIE,Anselme,Gers,5 janvier 1879,,31 mai 1828,12 juin 1887,batbie_anselme0151r3,https://www.senat.fr/senateur-3eme-republique/batbie_anselme0151r3.html
BAUDENS,Gustave,Hautes-Pyrénées,22 janvier 1893,27 janvier 1900,1er octobre 1843,8 janvier 1915,baudens_gustave1078r3,https://www.senat.fr/senateur-3eme-republique/baudens_gustave1078r3.html
BAUDET,Charles,Côtes-du-Nord,9 janvier 1921,13 janvier 1930,16 janvier 1852,20 mars 1933,baudet_charles0578r3,https://www.senat.fr/senateur-3eme-republique/baudet_charles0578r3.html
BAUDET,Louis,Eure-et-Loir,7 janvier 1912,23 janvier 1918,9 janvier 1857,23 janvier 1918,baudet_louis0776r3,https://www.senat.fr/senateur-3eme-republique/baudet_louis0776r3.html
BAUDIN,Pierre,Ain,3 janvier 1909,30 juillet 1917,21 août 1863,31 juillet 1917,baudin_pierre0016r3,https://www.senat.fr/senateur-3eme-republique/baudin_pierre0016r3.html
BAUDIN,Pierre,Ain,7 janvier 1912,,21 août 1863,31 juillet 1917,baudin_pierre0016r3,https://www.senat.fr/senateur-3eme-republique/baudin_pierre0016r3.html
BAUFLE,Maurice,Doubs,23 décembre 1934,21 octobre 1945,17 septembre 1886,11 janvier 1983,baufle_maurice0680r3,https://www.senat.fr/senateur-3eme-republique/baufle_maurice0680r3.html
BAUFLE,Maurice,Doubs,10 janvier 1939,,17 septembre 1886,11 janvier 1983,baufle_maurice0680r3,https://www.senat.fr/senateur-3eme-republique/baufle_maurice0680r3.html
BAYOL,Etienne,Var,23 février 1896,27 janvier 1900,5 janvier 1830,11 juin 1915,bayol_etienne1737r3,https://www.senat.fr/senateur-3eme-republique/bayol_etienne1737r3.html
BAYOL,Jean-Marie,Bouches-du-Rhône,4 janvier 1903,3 octobre 1905,24 décembre 1849,3 octobre 1905,bayol_jean_marie0328r3,https://www.senat.fr/senateur-3eme-republique/bayol_jean_marie0328r3.html
BAZE,Jean,Inamovible,11 décembre 1875,15 avril 1881,8 janvier 1800,15 avril 1881,baze_jean1433r3,https://www.senat.fr/senateur-3eme-republique/baze_jean1433r3.html
BAZILE,Gaston,Gard,6 septembre 1931,21 octobre 1945,16 février 1883,30 octobre 1952,bazile_gaston0835r3,https://www.senat.fr/senateur-3eme-republique/bazile_gaston0835r3.html
BAZILE,Gaston,Gard,10 janvier 1939,,16 février 1883,30 octobre 1952,bazile_gaston0835r3,https://www.senat.fr/senateur-3eme-republique/bazile_gaston0835r3.html
BAZILLE,Jean,Hérault,5 janvier 1879,4 janvier 1888,29 septembre 1812,29 avril 1894,bazille_jean0236r3,https://www.senat.fr/senateur-3eme-republique/bazille_jean0236r3.html
BAZIRE,Elphège,Manche,24 juillet 1898,10 mars 1917,2 avril 1852,10 mars 1917,bazire_elphege1045r3,https://www.senat.fr/senateur-3eme-republique/bazire_elphege1045r3.html
BAZIRE,Elphège,Manche,7 janvier 1906,,2 avril 1852,10 mars 1917,bazire_elphege1045r3,https://www.senat.fr/senateur-3eme-republique/bazire_elphege1045r3.html
BEAUMONT,Jean,Allier,11 janvier 1920,21 octobre 1945,10 juin 1870,31 mars 1966,beaumont_jean0050r3,https://www.senat.fr/senateur-3eme-republique/beaumont_jean0050r3.html
BEAUMONT,Jean,Allier,9 janvier 1921,,10 juin 1870,31 mars 1966,beaumont_jean0050r3,https://www.senat.fr/senateur-3eme-republique/beaumont_jean0050r3.html
