mandature_id,mandature_name,mandature_start_date,mandature_end_date,mandature_wikidata_qid,person_id,last_name,first_name,birth_date,death_date,department,group,mandate_start_date,mandate_end_date,mandate_duration,institution,sycomore_id,senat_id,wikidata_qid
chambre_4,IVe législature de la Troisième République,1885-11-10,1889-11-11,,gaillard_1836-06-19,Gaillard,"Auguste, Pierre, Antoine",1836-06-19,,Isère,Gauche radicale,1888-05-14,1889-10-14,518.0,chambre,3198.0,,Q8313102
chambre_7,VIIe législature de la Troisième République,1898-06-01,1902-05-31 00:00:00,,galley_1847-03-22,Galley,"Jean-Baptiste, Claude",1847-03-22,1932-07-19,Loire,Républicain,1898-05-22,1902-05-31 00:00:00,1469.0,chambre,3218.0,,Q16025740
chambre_4,IVe législature de la Troisième République,1885-11-10,1889-11-11,,gaussorgues_1857-12-07,Gaussorgues,"Simon, Samuel, Edouard, Léonce",1857-12-07,1909-08-08,Gard,Extrême-gauche,1885-12-13,1889-10-14,1401.0,chambre,3302.0,,Q3484284
chambre_6,VIe législature de la Troisième République,1893-10-15,1898-05-31,,girault_1852-09-21,Girault,Alexandre,1852-09-21,1930-01-25,Seine,,1896-12-28,1898-05-31,519.0,chambre,3440.0,,Q13077222
chambre_7,VIIe législature de la Troisième République,1898-06-01,1902-05-31 00:00:00,,guibert_1843-01-08,Guibert,"Jean, Denis, Marie, Arthur",1843-01-08,1914-10-12,Martinique,Républicains progressistes,1898-05-08,1902-05-31 00:00:00,1483.0,chambre,3646.0,,Q3165321
chambre_6,VIe législature de la Troisième République,1893-10-15,1898-05-31,,d'hugues_1859-09-12,d'Hugues,Paul-Antonin,1859-09-12,1918-01-01,Basses-Alpes,Conservateur,1893-09-03,1893-12-19,107.0,chambre,3900.0,,Q8309777
chambre_6,VIe législature de la Troisième République,1893-10-15,1898-05-31,,d'hugues_1859-09-12,d'Hugues,Paul-Antonin,1859-09-12,1918-01-01,Basses-Alpes,Conservateur,1894-02-18,1898-05-31,1563.0,chambre,3900.0,,Q8309777
chambre_8,VIIIe législature de la Troisième République,1902-06-01 00:00:00,1906-05-31 00:00:00,,isoard_1869-11-25,Isoard,"François, Joseph, Hippolyte",1869-11-25,1936-06-28,Basses-Alpes,Socialistes parlementaires,1903-05-31 00:00:00,1906-05-31 00:00:00,1096.0,chambre,3944.0,,Q8314865
chambre_9,IXe législature de la Troisième République,1906-06-01 00:00:00,1910-05-31 00:00:00,,isoard_1869-11-25,Isoard,"François, Joseph, Hippolyte",1869-11-25,1936-06-28,Basses-Alpes,Socialistes parlementaires,1906-05-06 00:00:00,1910-05-31 00:00:00,1486.0,chambre,3944.0,,Q8314865
chambre_13,XIIIe législature de la Troisième République,1924-06-01 00:00:00,1928-05-31 00:00:00,,jourdain_1865-02-03,Jourdain,"Louis, Charlemagne dit Georges",1865-02-03,1946-12-08,Somme,Gauche radicale,1924-05-11 00:00:00,1928-05-31 00:00:00,1481.0,chambre,4068.0,,Q16025879
chambre_7,VIIe législature de la Troisième République,1898-06-01,1902-05-31 00:00:00,,marchal_1849-11-13,Marchal,"Charles, François",1849-11-13,1914-03-25,Anciens départements d'Algérie,,1898-05-08,1902-05-31 00:00:00,1483.0,chambre,4972.0,,Q19631250
chambre_10,Xe législature de la Troisième République,1910-06-01 00:00:00,1914-05-31 00:00:00,,marlaud_1866-05-16,Marlaud,Léonce,1866-05-16,1935-09-07,Creuse,,1912-03-17 00:00:00,1914-05-31 00:00:00,805.0,chambre,5007.0,,Q16026044
chambre_5,Ve législature de la Troisième République,1889-11-12,1893-10-14,,nivert_1844-10-21,Nivert,Albert,1844-10-21,1921-01-00,Vienne,,1889-09-22,1893-10-14,1483.0,chambre,5558.0,,Q2410261
chambre_6,VIe législature de la Troisième République,1893-10-15,1898-05-31,,nivert_1844-10-21,Nivert,Albert,1844-10-21,1921-01-00,Vienne,,1893-08-20,1895-12-19,851.0,chambre,5558.0,,Q2410261
chambre_7,VIIe législature de la Troisième République,1898-06-01,1902-05-31 00:00:00,,paul-faure_1852-01-16,Paul-Faure,Paul,1852-01-16,1916-09-27,Vaucluse,Gauche radicale,1898-05-22,1902-05-31 00:00:00,1469.0,chambre,5725.0,,Q3371192
chambre_12,XIIe législature de la Troisième République,1919-12-08 00:00:00,1924-05-31 00:00:00,,petit_1871-01-09,Petit,Claude,1871-01-09,1966-11-09,Anciens départements d'Algérie,Républicain socialiste,1919-11-16 00:00:00,1924-05-31 00:00:00,1658.0,chambre,5843.0,,Q13626561
chambre_13,XIIIe législature de la Troisième République,1924-06-01 00:00:00,1928-05-31 00:00:00,,petit_1871-01-09,Petit,Claude,1871-01-09,1966-11-09,Anciens départements d'Algérie,Républicain socialiste et socialiste français,1924-05-11 00:00:00,1928-05-31 00:00:00,1481.0,chambre,5843.0,,Q13626561
chambre_4,IVe législature de la Troisième République,1885-11-10,1889-11-11,,sabatier_1851-03-10,Sabatier,"Camille, Pierre, Germain, Damaze, Jean",1851-03-10,1919-01-01,Anciens départements d'Algérie,Gauche radicale,1885-10-18,1889-10-14,1457.0,chambre,6198.0,,Q16798546
chambre_5,Ve législature de la Troisième République,1889-11-12,1893-10-14,,possesse_1846-03-24,Possesse,"Lucien, Henri Haudos de",1846-03-24,,Loir-et-Cher,,1889-10-06,1893-10-14,1469.0,chambre,6438.0,,Q8325957
chambre_5,Ve législature de la Troisième République,1889-11-12,1893-10-14,,raynaud_1844-07-25,Raynaud,Mary,1844-07-25,2000-00-00,Cantal,,1890-08-31,1890-11-29,90.0,chambre,6634.0,,Q16026058
chambre_10,Xe législature de la Troisième République,1910-06-01 00:00:00,1914-05-31 00:00:00,,reille-soult-dalmatie_1873-03-25,Reille-Soult-Dalmatie,Amédée,1873-03-25,1944-07-01,Tarn,Action libérale,1910-04-24 00:00:00,1914-05-31 00:00:00,1498.0,chambre,6657.0,,Q2844702
chambre_7,VIIe législature de la Troisième République,1898-06-01,1902-05-31 00:00:00,,reille-soult-dalmatie_1873-03-25,Reille-Soult-Dalmatie,Amédée,1873-03-25,1944-07-01,Tarn,Républicains progressistes,1899-01-29,1902-05-31 00:00:00,1217.0,chambre,6657.0,,Q2844702
chambre_8,VIIIe législature de la Troisième République,1902-06-01 00:00:00,1906-05-31 00:00:00,,reille-soult-dalmatie_1873-03-25,Reille-Soult-Dalmatie,Amédée,1873-03-25,1944-07-01,Tarn,Républicains progressistes,1902-04-27 00:00:00,1906-05-31 00:00:00,1495.0,chambre,6657.0,,Q2844702
chambre_9,IXe législature de la Troisième République,1906-06-01 00:00:00,1910-05-31 00:00:00,,reille-soult-dalmatie_1873-03-25,Reille-Soult-Dalmatie,Amédée,1873-03-25,1944-07-01,Tarn,Progressiste,1906-05-06 00:00:00,1910-05-31 00:00:00,1486.0,chambre,6657.0,,Q2844702
chambre_8,VIIIe législature de la Troisième République,1902-06-01 00:00:00,1906-05-31 00:00:00,,truy_1876-08-11,Truy,"Albert, Paul",1876-08-11,2000-00-00,Pas-de-Calais,,1902-05-11 00:00:00,1903-03-28 00:00:00,321.0,chambre,7168.0,,Q16026574
chambre_10,Xe législature de la Troisième République,1910-06-01 00:00:00,1914-05-31 00:00:00,,willm_1868-11-24,Willm,Albert,1868-11-24,1944-07-15,Seine,Parti socialiste,1910-04-24 00:00:00,1914-05-31 00:00:00,1498.0,chambre,7423.0,,Q2831639
chambre_9,IXe législature de la Troisième République,1906-06-01 00:00:00,1910-05-31 00:00:00,,willm_1868-11-24,Willm,Albert,1868-11-24,1944-07-15,Seine,Socialistes unifiés,1906-05-20 00:00:00,1910-05-31 00:00:00,1472.0,chambre,7423.0,,Q2831639
chambre_6,VIe législature de la Troisième République,1893-10-15,1898-05-31,,clec'h_1857-04-10,Clec'H,"Albert, Marie, Nicolas, Maurice Le",1857-04-10,1942-00-00,Morbihan,Gauche démocratique,1893-08-20,1898-05-31,1745.0,chambre,7556.0,,Q2831322
chambre_7,VIIe législature de la Troisième République,1898-06-01,1902-05-31 00:00:00,,clec'h_1857-04-10,Clec'H,"Albert, Marie, Nicolas, Maurice Le",1857-04-10,1942-00-00,Morbihan,Gauche démocratique,1898-05-08,1902-05-31 00:00:00,1483.0,chambre,7556.0,,Q2831322
chambre_4,IVe législature de la Troisième République,1885-11-10,1889-11-11,,lejeune_1842-01-10,Lejeune,"Pierre, Louis",1842-01-10,1931-11-06,Indre,Union des Droites,1885-10-04,1889-10-14,1471.0,chambre,7739.0,,Q8327052
chambre_7,VIIe législature de la Troisième République,1898-06-01,1902-05-31 00:00:00,,lemasson_1848-10-04,Lemasson,Emile,1848-10-04,,Maine-et-Loire,,1899-01-29,1901-12-02 00:00:00,1037.0,chambre,7748.0,,Q16025981
chambre_4,IVe législature de la Troisième République,1885-11-10,1889-11-11,,chatenay_1839-09-03,Chatenay,"Alexandre, Marie Genet de",1839-09-03,1902-01-02,Oise,Union des Droites,1885-10-18,1889-10-14,1457.0,chambre,7919.0,,Q16025762
chambre_4,IVe législature de la Troisième République,1885-11-10,1889-11-11,,lyonnais_1842-04-30,Lyonnais,André,1842-04-30,1914-07-01,Seine-Inférieure,Républicain progressiste,1885-10-04,1889-11-11,1499.0,chambre,7997.0,,Q16026019
chambre_3,IIIe législature de la Troisième République,1881-10-28,1885-11-09,,mingasson_1830-10-14,Mingasson,"Ernest, Timoléon, Gabriel",1830-10-14,1913-03-20,Cher,Union républicaine,1881-08-21,1885-10-14,1515.0,chambre,8092.0,,Q3057089
chambre_3,IIIe législature de la Troisième République,1881-10-28,1885-11-09,,mathieu_1830-10-15,Mathieu,"Edouard, Léon, Napoléon",1830-10-15,,Morbihan,Gauche radicale,1881-08-21,1885-10-14,1515.0,chambre,8183.0,,Q3579957
chambre_3,IIIe législature de la Troisième République,1881-10-28,1885-11-09,,outters_1849-06-13,Outters,"Auguste, Henri, Alphonse",1849-06-13,2000-01-01,Nord,Gauche républicaine,1881-08-21,1885-11-09,1541.0,chambre,8194.0,,Q2839932
chambre_3,IIIe législature de la Troisième République,1881-10-28,1885-11-09,,forné_1829-02-13,Forné,"Jean, Jacques, Joseph",1829-02-13,1912-06-00,Pyrénées-Orientales,Union républicaine,1881-08-21,1885-10-14,1515.0,chambre,8223.0,,Q14301063
chambre_3,IIIe législature de la Troisième République,1881-10-28,1885-11-09,,calla_1840-12-05,Calla,"Louis, Pierre, François",1840-12-05,1907-08-00,Seine,,1883-03-20,1885-10-14,939.0,chambre,8249.0,,Q3261404
chambre_3,IIIe législature de la Troisième République,1881-10-28,1885-11-09,,féau_1852-06-07,Féau,"Paul, Edmond",1852-06-07,1902-01-04,Seine-et-Oise,Gauche républicaine,1881-09-04,1885-10-14,1501.0,chambre,8261.0,,Q8320094
chambre_3,IIIe législature de la Troisième République,1881-10-28,1885-11-09,,dieu_1842-01-14,Dieu,Ernest,1842-01-14,1906-00-00,Somme,Gauche républicaine,1881-08-21,1885-10-14,1515.0,chambre,8270.0,,Q16025598
chambre_4,IVe législature de la Troisième République,1885-11-10,1889-11-11,,augère_1824-05-10,Augère,"François, Auguste",1824-05-10,1910-08-14,Loiret,Gauche radicale,1888-02-26,1889-10-14,596.0,chambre,17848.0,,Q11984202
gouv_bouisson,Gouvernement Bouisson,1935-06-01 00:00:00,1935-06-07 00:00:00,,maurin_1854-12-23,Maurin,Louis,1854-12-23,,Ministre de la Guerre,,,,,gouvernement,,,Q16060769
gouv_sarraut_2,Gouvernement Sarraut II,1936-01-24 00:00:00,1936-06-04 00:00:00,,maurin_1854-12-23,Maurin,Louis,1854-12-23,,Ministre de la Guerre,,,,,gouvernement,,,Q16060769
gouv_tirard_1,Gouvernement Tirard I,1887-12-11,1888-03-30,,logerot_1936-07-18,Logerot,François,1936-07-18 00:00:00,,Ministre de la Guerre,,,,,gouvernement,,,Q3085190
senat_1876,Élections sénatoriales de 1876,1876-01-27,,,adnet_1829-12-04,ADNET,Jean,1829-12-04,1900-02-12,Hautes-Pyrénées,,1876-01-30,1882-01-07,2169.0,senat,,adnet_jean1082r3,Q3170287
senat_1876,Élections sénatoriales de 1876,1876-01-27,,,arbel_1826-09-05,ARBEL,Lucien,1826-09-05,1892-02-20,Loire,,1876-01-30,1879-01-04,1070.0,senat,,arbel_lucien1344r3,Q3265342
senat_1879,Élections sénatoriales de 1879,1879-01-05,,,arbel_1826-09-05,ARBEL,Lucien,1826-09-05,1892-02-20,Loire,,1879-01-05,1945-10-21 00:00:00,24395.0,senat,,arbel_lucien1344r3,Q3265342
senat_1885,Élections sénatoriales de 1885,1885-01-25,,,bergeon_1828-07-21,BERGEON,Emile,1828-07-21,1891-03-18,Deux-Sèvres,,1885-04-26,1891-01-03,2078.0,senat,,bergeon_emile1621r3,Q3588338
senat_1897,Élections sénatoriales de 1897,1897-01-03,,,bodinier_1847-05-30,BODINIER,Guillaume,1847-05-30,1922-09-15,Maine-et-Loire,,1897-01-03,1906-01-06 00:00:00,3289.0,senat,,bodinier_guillaume1159r3,Q3119691
senat_1906,Élections sénatoriales de 1906,1906-01-07 00:00:00,,,bodinier_1847-05-30,BODINIER,Guillaume,1847-05-30,1922-09-15,Maine-et-Loire,,1906-01-07 00:00:00,1920-01-10 00:00:00,5116.0,senat,,bodinier_guillaume1159r3,Q3119691
senat_1920,Élections sénatoriales de 1920,1920-01-11 00:00:00,,,bodinier_1847-05-30,BODINIER,Guillaume,1847-05-30,1922-09-15,Maine-et-Loire,,1920-01-11 00:00:00,1945-10-21 00:00:00,9415.0,senat,,bodinier_guillaume1159r3,Q3119691
senat_1876,Élections sénatoriales de 1876,1876-01-27,,,boffinton_1817-08-27,BOFFINTON,Jean-Baptiste,1817-08-27,1899-12-11,Charente-Inférieure,,1876-01-30,1885-01-24,3282.0,senat,,boffinton_jean_baptiste0410r3,Q3163889
senat_1876,Élections sénatoriales de 1876,1876-01-27,,,boisse_1810-09-16,BOISSE,Adolphe,1810-09-16,1896-01-18,Aveyron,,1876-01-30,1885-01-24,3282.0,senat,,boisse_adolphe0285r3,Q2824776
senat_1906,Élections sénatoriales de 1906,1906-01-07 00:00:00,,,boivin-champeaux_1854-06-21,BOIVIN-CHAMPEAUX,Paul,1854-06-21,1925-04-16,Calvados,,1907-02-17 00:00:00,1912-01-06 00:00:00,1784.0,senat,,boivin_champeaux_paul0348r3,Q3370674
senat_1912,Élections sénatoriales de 1912,1912-01-07 00:00:00,,,boivin-champeaux_1854-06-21,BOIVIN-CHAMPEAUX,Paul,1854-06-21,1925-04-16,Calvados,,1912-01-07 00:00:00,1921-01-08 00:00:00,3289.0,senat,,boivin_champeaux_paul0348r3,Q3370674
senat_1921,Élections sénatoriales de 1921,1921-01-09 00:00:00,,,boivin-champeaux_1854-06-21,BOIVIN-CHAMPEAUX,Paul,1854-06-21,1925-04-16,Calvados,,1921-01-09 00:00:00,1925-04-16 00:00:00,1558.0,senat,,boivin_champeaux_paul0348r3,Q3370674
senat_1897,Élections sénatoriales de 1897,1897-01-03,,,bourgeat_1840-11-09,BOURGEAT,Louis,1840-11-09,1902-03-27,Tarn-et-Garonne,,1897-10-31,1900-01-29 00:00:00,818.0,senat,,bourgeat_louis1724r3,Q3261332
senat_1900,Élections sénatoriales de 1900,1900-01-30 00:00:00,,,bourgeat_1840-11-09,BOURGEAT,Louis,1840-11-09,1902-03-27,Tarn-et-Garonne,,1900-01-30 00:00:00,1945-10-21 00:00:00,16702.0,senat,,bourgeat_louis1724r3,Q3261332
senat_1894,Élections sénatoriales de 1894,1894-01-07,,,brothier_1819-03-16,BROTHIER,Théophile,1819-03-16,1900-11-28,Charente,,1894-01-07,1900-11-29 00:00:00,2517.0,senat,,brothier_theophile0389r3,Q3526635
senat_1876,Élections sénatoriales de 1876,1876-01-27,,,buffet_1818-10-26,BUFFET,Louis,1818-10-26,1898-07-07,Inamovible,,1876-06-16,1898-07-07,8056.0,senat,,buffet_louis1440r3,Q548687
senat_1879,Élections sénatoriales de 1879,1879-01-05,,,callen_1820-10-30,CALLEN,Jean,1820-10-30,1892-03-21,Gironde,,1879-01-05,1888-01-04,3286.0,senat,,callen_jean0211r3,Q3171093
senat_1875,Lois constitutionnelles de 1875,1875-12-09,,,calouin de treville_1802-02-28,CALOUIN de TREVILLE,Bernard-Louis,1802-02-28,1886-02-18,Inamovible,,1875-12-11,1886-02-18,3722.0,senat,,calouin_de_treville_bernard_louis1540r3,Q3134042
senat_1888,Élections sénatoriales de 1888,1888-01-05,,,chaix_1821-11-11,CHAIX,Cyprien,1821-11-11,1899-08-20,Hautes-Alpes,,1888-05-01,1894-01-06,2076.0,senat,,chaix_cyprien0074r3,Q3008869
senat_1894,Élections sénatoriales de 1894,1894-01-07,,,chaix_1821-11-11,CHAIX,Cyprien,1821-11-11,1899-08-20,Hautes-Alpes,,1894-01-07,1945-10-21 00:00:00,18914.0,senat,,chaix_cyprien0074r3,Q3008869
senat_1879,Élections sénatoriales de 1879,1879-01-05,,,chavassieu_1814-10-16,CHAVASSIEU,Jean-Baptiste,1814-10-16,1891-02-21,Loire,,1879-01-05,1888-01-04,3286.0,senat,,chavassieu_jean_baptiste1335r3,Q3163952
senat_1885,Élections sénatoriales de 1885,1885-01-25,,,chaver-bière léonce dit léonce de_1833-09-30,CHAVER-BIÈRE Léonce dit Léonce de,SAL,1833-09-30,1907-05-01,Corrèze,,1886-06-27,1894-01-06,2750.0,senat,,chaver_biere_leonce0466r3,Q3271636
senat_1894,Élections sénatoriales de 1894,1894-01-07,,,chaver-bière léonce dit léonce de_1833-09-30,CHAVER-BIÈRE Léonce dit Léonce de,SAL,1833-09-30,1907-05-01,Corrèze,,1894-01-07,1903-01-03 00:00:00,3282.0,senat,,chaver_biere_leonce0466r3,Q3271636
senat_1903,Élections sénatoriales de 1903,1903-01-04 00:00:00,,,chaver-bière léonce dit léonce de_1833-09-30,CHAVER-BIÈRE Léonce dit Léonce de,SAL,1833-09-30,1907-05-01,Corrèze,,1903-01-04 00:00:00,1945-10-21 00:00:00,15631.0,senat,,chaver_biere_leonce0466r3,Q3271636
senat_1920,Élections sénatoriales de 1920,1920-01-11 00:00:00,,,chomet_1863-05-11,CHOMET,Emile,1863-05-11,1936-07-02,Nièvre,,1920-01-11 00:00:00,1924-01-05 00:00:00,1455.0,senat,,chomet_emile1264r3,Q3588412
senat_1888,Élections sénatoriales de 1888,1888-01-05,,,coste_1833-08-28,COSTE,Gustave,1833-08-28,1900-02-01,Yonne,,1890-05-25,1891-01-03,223.0,senat,,coste_gustave1838r3,Q3121144
senat_1891,Élections sénatoriales de 1891,1891-01-04,,,coste_1833-08-28,COSTE,Gustave,1833-08-28,1900-02-01,Yonne,,1891-01-04,1945-10-21 00:00:00,20013.0,senat,,coste_gustave1838r3,Q3121144
senat_1876,Élections sénatoriales de 1876,1876-01-27,,,d'andlau_1824-01-01,d'ANDLAU,Joseph,1824-01-01,1894-05-27,Oise,,1876-01-30,1879-01-04,1070.0,senat,,d_andlau_joseph0888r3,Q1495572
senat_1879,Élections sénatoriales de 1879,1879-01-05,,,d'andlau_1824-01-01,d'ANDLAU,Joseph,1824-01-01,1894-05-27,Oise,,1879-01-05,1945-10-21 00:00:00,24395.0,senat,,d_andlau_joseph0888r3,Q1495572
senat_1876,Élections sénatoriales de 1876,1876-01-27,,,daussel_1813-03-22,DAUSSEL,Philippe,1813-03-22,1883-07-27,Dordogne,,1876-01-30,1883-07-27,2735.0,senat,,daussel_philippe0658r3,Q3379682
senat_1885,Élections sénatoriales de 1885,1885-01-25,,,de bejarry_1840-06-30,de BEJARRY,Amédée,1840-06-30,1916-10-01,Vendée,,1886-05-02,1891-01-03,1707.0,senat,,de_bejarry_amedee1748r3,Q2844725
senat_1891,Élections sénatoriales de 1891,1891-01-04,,,de bejarry_1840-06-30,de BEJARRY,Amédée,1840-06-30,1916-10-01,Vendée,,1891-01-04,1900-01-29 00:00:00,3310.0,senat,,de_bejarry_amedee1748r3,Q2844725
senat_1900,Élections sénatoriales de 1900,1900-01-30 00:00:00,,,de bejarry_1840-06-30,de BEJARRY,Amédée,1840-06-30,1916-10-01,Vendée,,1900-01-30 00:00:00,1909-01-02 00:00:00,3261.0,senat,,de_bejarry_amedee1748r3,Q2844725
senat_1909,Élections sénatoriales de 1909,1909-01-03 00:00:00,,,de bejarry_1840-06-30,de BEJARRY,Amédée,1840-06-30,1916-10-01,Vendée,,1909-01-03 00:00:00,1945-10-21 00:00:00,13440.0,senat,,de_bejarry_amedee1748r3,Q2844725
senat_1894,Élections sénatoriales de 1894,1894-01-07,,,de blois_1849-01-01,de BLOIS,Georges,1849-01-01,1906-03-12,Maine-et-Loire,,1895-07-07,1897-01-02,545.0,senat,,de_blois_georges1060r3,Q3103672
senat_1897,Élections sénatoriales de 1897,1897-01-03,,,de blois_1849-01-01,de BLOIS,Georges,1849-01-01,1906-03-12,Maine-et-Loire,,1897-01-03,1906-01-06 00:00:00,3289.0,senat,,de_blois_georges1060r3,Q3103672
senat_1906,Élections sénatoriales de 1906,1906-01-07 00:00:00,,,de blois_1849-01-01,de BLOIS,Georges,1849-01-01,1906-03-12,Maine-et-Loire,,1906-01-07 00:00:00,1945-10-21 00:00:00,14532.0,senat,,de_blois_georges1060r3,Q3103672
senat_1876,Élections sénatoriales de 1876,1876-01-27,,,de carayon-latour_1824-04-10,de CARAYON-LATOUR,Joseph,1824-04-10,1886-06-16,Inamovible,,1878-02-19,1886-06-16,3039.0,senat,,de_carayon_latour_joseph1443r3,Q3185829
senat_1876,Élections sénatoriales de 1876,1876-01-27,,,de champagny_1831-06-17,de CHAMPAGNY,Henri,1831-06-17,1885-04-10,Côtes-du-Nord,,1876-01-30,1885-01-24,3282.0,senat,,de_champagny_henri0569r3,Q2364407
senat_1885,Élections sénatoriales de 1885,1885-01-25,,,de champagny_1831-06-17,de CHAMPAGNY,Henri,1831-06-17,1885-04-10,Côtes-du-Nord,,1885-01-25,1945-10-21 00:00:00,22183.0,senat,,de_champagny_henri0569r3,Q2364407
senat_1875,Lois constitutionnelles de 1875,1875-12-09,,,de cissey ernest_1810-12-23,de CISSEY Ernest,COURTOT,1810-12-23,1882-06-15,Inamovible,,1875-12-17,1882-06-15,2372.0,senat,,de_cissey_ernest_courtot1868r3,Q471302
